# Ir,Pd,Pt,Rh,Ru,fd,fd_se
1.00,0.00,0.00,0.00,0.00,1.000000,0.000000
0.90,0.10,0.00,0.00,0.00,0.994595,0.002528
0.90,0.00,0.10,0.00,0.00,1.000000,0.000000
0.90,0.00,0.00,0.10,0.00,0.997297,0.001655
0.90,0.00,0.00,0.00,0.10,0.902027,0.008344
0.80,0.20,0.00,0.00,0.00,0.987838,0.003940
0.80,0.10,0.10,0.00,0.00,0.990541,0.004583
0.80,0.10,0.00,0.10,0.00,0.987838,0.004965
0.80,0.10,0.00,0.00,0.10,0.891892,0.011457
0.80,0.00,0.20,0.00,0.00,0.995946,0.002703
0.80,0.00,0.10,0.10,0.00,0.991892,0.003940
0.80,0.00,0.10,0.00,0.10,0.902703,0.008964
0.80,0.00,0.00,0.20,0.00,0.982432,0.006957
0.80,0.00,0.00,0.10,0.10,0.899324,0.009639
0.80,0.00,0.00,0.00,0.20,0.790541,0.021017
0.70,0.30,0.00,0.00,0.00,0.951351,0.010608
0.70,0.20,0.10,0.00,0.00,0.960135,0.009027
0.70,0.20,0.00,0.10,0.00,0.923649,0.017113
0.70,0.20,0.00,0.00,0.10,0.818243,0.013573
0.70,0.10,0.20,0.00,0.00,0.964189,0.011082
0.70,0.10,0.10,0.10,0.00,0.958784,0.013275
0.70,0.10,0.10,0.00,0.10,0.858784,0.011674
0.70,0.10,0.00,0.20,0.00,0.937838,0.015759
0.70,0.10,0.00,0.10,0.10,0.852703,0.011781
0.70,0.10,0.00,0.00,0.20,0.766216,0.023391
0.70,0.00,0.30,0.00,0.00,0.994595,0.003310
0.70,0.00,0.20,0.10,0.00,0.980405,0.010214
0.70,0.00,0.20,0.00,0.10,0.893243,0.012115
0.70,0.00,0.10,0.20,0.00,0.972297,0.011771
0.70,0.00,0.10,0.10,0.10,0.861486,0.019466
0.70,0.00,0.10,0.00,0.20,0.792568,0.018086
0.70,0.00,0.00,0.30,0.00,0.961486,0.013454
0.70,0.00,0.00,0.20,0.10,0.874324,0.012882
0.70,0.00,0.00,0.10,0.20,0.766216,0.025448
0.70,0.00,0.00,0.00,0.30,0.710811,0.004220
0.60,0.40,0.00,0.00,0.00,0.834459,0.029003
0.60,0.30,0.10,0.00,0.00,0.882432,0.009756
0.60,0.30,0.00,0.10,0.00,0.853378,0.023445
0.60,0.30,0.00,0.00,0.10,0.707432,0.019542
0.60,0.20,0.20,0.00,0.00,0.913514,0.011030
0.60,0.20,0.10,0.10,0.00,0.881757,0.015334
0.60,0.20,0.10,0.00,0.10,0.754730,0.026225
0.60,0.20,0.00,0.20,0.00,0.836486,0.015832
0.60,0.20,0.00,0.10,0.10,0.730405,0.016461
0.60,0.20,0.00,0.00,0.20,0.705405,0.016146
0.60,0.10,0.30,0.00,0.00,0.956757,0.009579
0.60,0.10,0.20,0.10,0.00,0.912162,0.017909
0.60,0.10,0.20,0.00,0.10,0.800000,0.010651
0.60,0.10,0.10,0.20,0.00,0.909459,0.020533
0.60,0.10,0.10,0.10,0.10,0.782432,0.017542
0.60,0.10,0.10,0.00,0.20,0.738514,0.016537
0.60,0.10,0.00,0.30,0.00,0.868919,0.015199
0.60,0.10,0.00,0.20,0.10,0.813514,0.010863
0.60,0.10,0.00,0.10,0.20,0.695946,0.012181
0.60,0.10,0.00,0.00,0.30,0.641892,0.008275
0.60,0.00,0.40,0.00,0.00,0.985811,0.004054
0.60,0.00,0.30,0.10,0.00,0.963514,0.010214
0.60,0.00,0.30,0.00,0.10,0.869595,0.016537
0.60,0.00,0.20,0.20,0.00,0.939189,0.014173
0.60,0.00,0.20,0.10,0.10,0.843243,0.016777
0.60,0.00,0.20,0.00,0.20,0.770946,0.030338
0.60,0.00,0.10,0.30,0.00,0.941892,0.012293
0.60,0.00,0.10,0.20,0.10,0.829730,0.025182
0.60,0.00,0.10,0.10,0.20,0.744595,0.010715
0.60,0.00,0.10,0.00,0.30,0.666892,0.019484
0.60,0.00,0.00,0.40,0.00,0.904054,0.027686
0.60,0.00,0.00,0.30,0.10,0.821622,0.017140
0.60,0.00,0.00,0.20,0.20,0.727027,0.024973
0.60,0.00,0.00,0.10,0.30,0.677703,0.026743
