# Pd,Pt,Ru
0.4571,0.4857,0.0572
0.4711,0.4808,0.0481
0.4855,0.4757,0.0388
0.4902,0.4804,0.0294
0.4851,0.4951,0.0198
0.4804,0.5000,0.0196
0.4851,0.5050,0.0099
0.4952,0.4951,0.0097
0.4950,0.5050,0.0000
0.4851,0.5149,0.0000
0.4851,0.5149,0.0000
0.4902,0.5098,0.0000
0.4950,0.5050,0.0000
0.4904,0.5000,0.0096
0.4951,0.5049,0.0000
0.4953,0.4952,0.0095
0.4902,0.5098,0.0000
0.4902,0.5098,0.0000
0.4902,0.5098,0.0000
0.4902,0.5098,0.0000
0.4902,0.5098,0.0000
0.4851,0.5149,0.0000
0.4902,0.5098,0.0000
0.4951,0.5049,0.0000
0.5000,0.5000,0.0000
0.5000,0.5000,0.0000
0.5049,0.4951,0.0000
0.5098,0.4902,0.0000
0.5146,0.4854,0.0000
0.5192,0.4808,0.0000
0.5196,0.4804,0.0000
0.5243,0.4757,0.0000
