# Pd,Pt,Ru
0.3594,0.2734,0.3672
0.3586,0.2749,0.3665
0.3579,0.2763,0.3658
0.3598,0.2751,0.3651
0.3590,0.2766,0.3644
0.3610,0.2754,0.3636
0.3629,0.2742,0.3629
0.3612,0.2749,0.3639
0.3621,0.2757,0.3622
0.3604,0.2764,0.3632
0.3624,0.2779,0.3597
0.3634,0.2760,0.3606
0.3634,0.2760,0.3606
0.3654,0.2747,0.3599
0.3674,0.2707,0.3619
0.3695,0.2722,0.3583
0.3705,0.2702,0.3593
0.3698,0.2717,0.3585
0.3718,0.2704,0.3578
0.3711,0.2691,0.3598
0.3722,0.2699,0.3579
0.3714,0.2714,0.3572
0.3743,0.2714,0.3543
0.3736,0.2730,0.3534
0.3757,0.2688,0.3555
0.3750,0.2674,0.3576
0.3743,0.2661,0.3596
0.3765,0.2618,0.3617
0.3757,0.2633,0.3610
0.3768,0.2671,0.3561
0.3761,0.2657,0.3582
0.3731,0.2687,0.3582
0.3742,0.2665,0.3593
0.3754,0.2673,0.3573
0.3776,0.2689,0.3535
0.3788,0.2697,0.3515
0.3769,0.2705,0.3526
0.3780,0.2683,0.3537
0.3762,0.2691,0.3547
0.3762,0.2691,0.3547
0.3773,0.2699,0.3528
0.3765,0.2716,0.3519
0.3789,0.2702,0.3509
0.3770,0.2710,0.3520
0.3793,0.2665,0.3542
0.3805,0.2673,0.3522
0.3793,0.2696,0.3511
0.3774,0.2704,0.3522
0.3766,0.2690,0.3544
0.3726,0.2707,0.3567
0.3686,0.2724,0.3590
0.3666,0.2733,0.3601
0.3666,0.2765,0.3569
0.3666,0.2765,0.3569
0.3625,0.2783,0.3592
0.3625,0.2815,0.3560
0.3648,0.2769,0.3583
0.3627,0.2778,0.3595
0.3639,0.2787,0.3574
0.3664,0.2772,0.3564
0.3688,0.2724,0.3588
0.3688,0.2757,0.3555
0.3666,0.2767,0.3567
0.3691,0.2752,0.3557
0.3725,0.2718,0.3557
0.3750,0.2669,0.3581
0.3742,0.2653,0.3605
0.3729,0.2644,0.3627
0.3720,0.2662,0.3618
0.3720,0.2662,0.3618
0.3711,0.2681,0.3608
0.3703,0.2664,0.3633
0.3703,0.2664,0.3633
0.3658,0.2683,0.3659
0.3728,0.2648,0.3624
0.3719,0.2667,0.3614
0.3719,0.2667,0.3614
0.3732,0.2641,0.3627
0.3746,0.2650,0.3604
0.3781,0.2615,0.3604
0.3768,0.2641,0.3591
0.3768,0.2676,0.3556
0.3759,0.2695,0.3546
0.3759,0.2695,0.3546
0.3714,0.2714,0.3572
0.3701,0.2705,0.3594
0.3679,0.2714,0.3607
0.3643,0.2750,0.3607
0.3620,0.2760,0.3620
0.3633,0.2770,0.3597
0.3646,0.2780,0.3574
0.3659,0.2790,0.3551
0.3649,0.2774,0.3577
0.3649,0.2774,0.3577
0.3626,0.2784,0.3590
0.3640,0.2757,0.3603
0.3616,0.2768,0.3616
0.3616,0.2768,0.3616
0.3616,0.2805,0.3579
0.3630,0.2778,0.3592
0.3667,0.2778,0.3555
0.3653,0.2804,0.3543
0.3680,0.2788,0.3532
0.3643,0.2788,0.3569
0.3657,0.2798,0.3545
0.3633,0.2809,0.3558
0.3595,0.2809,0.3596
0.3547,0.2830,0.3623
0.3561,0.2841,0.3598
0.3574,0.2852,0.3574
0.3550,0.2862,0.3588
0.3563,0.2835,0.3602
0.3539,0.2846,0.3615
0.3539,0.2846,0.3615
0.3514,0.2857,0.3629
0.3541,0.2840,0.3619
0.3568,0.2863,0.3569
0.3568,0.2863,0.3569
0.3569,0.2823,0.3608
0.3555,0.2851,0.3594
0.3555,0.2851,0.3594
0.3555,0.2851,0.3594
