# Au,Cu,Pt
0.2786,0.3516,0.3698
0.2749,0.3534,0.3717
0.2756,0.3543,0.3701
0.2744,0.3562,0.3694
0.2732,0.3554,0.3714
0.2720,0.3573,0.3707
0.2727,0.3556,0.3717
0.2734,0.3566,0.3700
0.2749,0.3558,0.3693
0.2757,0.3567,0.3676
0.2764,0.3577,0.3659
0.2772,0.3587,0.3641
0.2787,0.3579,0.3634
0.2775,0.3571,0.3654
0.2790,0.3536,0.3674
0.2805,0.3556,0.3639
0.2793,0.3548,0.3659
0.2773,0.3557,0.3670
0.2781,0.3567,0.3652
0.2789,0.3577,0.3634
0.2768,0.3588,0.3644
0.2769,0.3559,0.3672
0.2756,0.3551,0.3693
0.2743,0.3543,0.3714
0.2735,0.3561,0.3704
0.2763,0.3533,0.3704
0.2779,0.3496,0.3725
0.2795,0.3458,0.3747
0.2787,0.3448,0.3765
0.2816,0.3448,0.3736
0.2833,0.3439,0.3728
0.2841,0.3420,0.3739
0.2841,0.3449,0.3710
0.2857,0.3469,0.3674
0.2844,0.3490,0.3666
0.2853,0.3500,0.3647
0.2874,0.3490,0.3636
0.2882,0.3471,0.3647
0.2840,0.3491,0.3669
0.2849,0.3472,0.3679
0.2836,0.3492,0.3672
0.2844,0.3473,0.3683
0.2853,0.3453,0.3694
0.2861,0.3464,0.3675
0.2848,0.3455,0.3697
0.2866,0.3476,0.3658
0.2884,0.3466,0.3650
0.2884,0.3466,0.3650
0.2892,0.3446,0.3662
0.2901,0.3426,0.3673
0.2910,0.3437,0.3653
0.2919,0.3447,0.3634
0.2937,0.3469,0.3594
0.2956,0.3459,0.3585
0.2934,0.3501,0.3565
0.2934,0.3470,0.3596
0.2889,0.3492,0.3619
0.2866,0.3503,0.3631
0.2876,0.3514,0.3610
0.2862,0.3505,0.3633
0.2848,0.3495,0.3657
0.2857,0.3474,0.3669
0.2876,0.3497,0.3627
0.2895,0.3487,0.3618
0.2928,0.3454,0.3618
0.2937,0.3432,0.3631
0.2937,0.3432,0.3631
0.2947,0.3444,0.3609
0.2900,0.3467,0.3633
0.2886,0.3490,0.3624
0.2876,0.3478,0.3646
0.2886,0.3456,0.3658
0.2886,0.3456,0.3658
0.2896,0.3434,0.3670
0.2886,0.3423,0.3691
0.2886,0.3423,0.3691
0.2905,0.3412,0.3683
0.2905,0.3412,0.3683
0.2891,0.3435,0.3674
0.2871,0.3480,0.3649
0.2881,0.3492,0.3627
0.2857,0.3503,0.3640
0.2877,0.3527,0.3596
0.2877,0.3527,0.3596
0.2877,0.3527,0.3596
0.2887,0.3539,0.3574
0.2887,0.3539,0.3574
0.2907,0.3529,0.3564
0.2892,0.3519,0.3589
0.2857,0.3519,0.3624
0.2892,0.3519,0.3589
0.2857,0.3519,0.3624
0.2847,0.3542,0.3611
0.2867,0.3532,0.3601
0.2867,0.3497,0.3636
0.2877,0.3509,0.3614
0.2872,0.3511,0.3617
0.2908,0.3475,0.3617
0.2918,0.3452,0.3630
0.2918,0.3452,0.3630
0.2918,0.3452,0.3630
0.2918,0.3416,0.3666
0.2939,0.3369,0.3692
0.2939,0.3333,0.3728
0.2939,0.3333,0.3728
0.2914,0.3345,0.3741
0.2898,0.3370,0.3732
0.2898,0.3370,0.3732
0.2920,0.3358,0.3722
0.2894,0.3333,0.3773
0.2894,0.3333,0.3773
0.2894,0.3333,0.3773
0.2857,0.3370,0.3773
0.2878,0.3395,0.3727
0.2889,0.3370,0.3741
0.2889,0.3370,0.3741
0.2911,0.3358,0.3731
0.2911,0.3358,0.3731
0.2932,0.3308,0.3760
0.2985,0.3284,0.3731
0.2985,0.3284,0.3731
0.2996,0.3259,0.3745
0.3008,0.3233,0.3759
0.3030,0.3258,0.3712
0.3030,0.3258,0.3712
0.3015,0.3283,0.3702
0.3004,0.3270,0.3726
0.3004,0.3308,0.3688
0.2989,0.3333,0.3678
0.3000,0.3346,0.3654
0.3023,0.3333,0.3644
0.3023,0.3372,0.3605
0.3020,0.3372,0.3608
0.3043,0.3360,0.3597
0.3032,0.3346,0.3622
0.3055,0.3294,0.3651
0.3016,0.3333,0.3651
0.3040,0.3320,0.3640
0.3052,0.3293,0.3655
0.3077,0.3279,0.3644
0.3083,0.3209,0.3708
0.3061,0.3225,0.3714
0.3074,0.3156,0.3770
0.3045,0.3169,0.3786
0.3029,0.3154,0.3817
0.3042,0.3125,0.3833
0.3042,0.3125,0.3833
0.3067,0.3109,0.3824
0.3038,0.3080,0.3882
0.3000,0.3043,0.3957
0.2995,0.3040,0.3965
0.3009,0.3053,0.3938
0.2978,0.3111,0.3911
0.2978,0.3111,0.3911
0.3005,0.3094,0.3901
0.3018,0.3063,0.3919
0.2986,0.3077,0.3937
0.2944,0.3131,0.3925
0.2850,0.3189,0.3961
0.2899,0.3140,0.3961
0.2927,0.3073,0.4000
0.2947,0.3092,0.3961
0.2976,0.3024,0.4000
0.2927,0.3024,0.4049
0.2976,0.3024,0.4000
0.3054,0.3005,0.3941
0.3035,0.2985,0.3980
0.3000,0.2950,0.4050
0.3030,0.2929,0.4041
0.3030,0.2879,0.4091
0.3061,0.2806,0.4133
0.3041,0.2784,0.4175
0.3041,0.2784,0.4175
0.3118,0.2688,0.4194
0.3161,0.2642,0.4197
0.3118,0.2635,0.4247
0.3115,0.2623,0.4262
0.3077,0.2637,0.4286
0.3077,0.2582,0.4341
0.3077,0.2582,0.4341
0.3077,0.2582,0.4341
0.3111,0.2556,0.4333
0.3111,0.2500,0.4389
0.3202,0.2360,0.4438
0.3240,0.2346,0.4414
0.3278,0.2333,0.4389
0.3278,0.2333,0.4389
0.3315,0.2265,0.4420
0.3352,0.2235,0.4413
0.3389,0.2278,0.4333
0.3425,0.2210,0.4365
0.3481,0.2155,0.4364
0.3575,0.2067,0.4358
0.3631,0.2067,0.4302
0.3605,0.2093,0.4302
0.3663,0.2035,0.4302
0.3706,0.2000,0.4294
0.3713,0.1976,0.4311
0.3750,0.1937,0.4313
0.3757,0.1879,0.4364
0.3758,0.1818,0.4424
0.3758,0.1818,0.4424
0.3735,0.1747,0.4518
0.3781,0.1707,0.4512
0.3827,0.1667,0.4506
0.3851,0.1615,0.4534
0.3913,0.1553,0.4534
0.3875,0.1563,0.4562
0.3922,0.1503,0.4575
0.3924,0.1392,0.4684
0.3861,0.1392,0.4747
0.3896,0.1299,0.4805
0.3907,0.1258,0.4835
0.3960,0.1275,0.4765
0.3919,0.1284,0.4797
0.3919,0.1216,0.4865
0.3919,0.1216,0.4865
0.4052,0.1111,0.4837
0.4079,0.1118,0.4803
0.4118,0.1111,0.4771
0.4183,0.1046,0.4771
0.4210,0.0987,0.4803
0.4276,0.0921,0.4803
0.4305,0.0861,0.4834
0.4295,0.0806,0.4899
0.4354,0.0748,0.4898
0.4345,0.0690,0.4965
0.4375,0.0625,0.5000
0.4345,0.0621,0.5034
0.4406,0.0559,0.5035
0.4476,0.0489,0.5035
0.4539,0.0426,0.5035
0.4532,0.0360,0.5108
0.4604,0.0288,0.5108
0.4604,0.0216,0.5180
0.4672,0.0146,0.5182
0.4741,0.0074,0.5185
0.4741,0.0000,0.5259
0.4779,0.0000,0.5221
0.4779,0.0000,0.5221
0.4779,0.0000,0.5221
0.4779,0.0000,0.5221
0.4685,0.0140,0.5175
0.4685,0.0070,0.5245
0.4718,0.0000,0.5282
0.4685,0.0070,0.5245
0.4718,0.0000,0.5282
0.4643,0.0000,0.5357
0.4638,0.0000,0.5362
0.4638,0.0000,0.5362
0.4638,0.0000,0.5362
0.4638,0.0000,0.5362
0.4710,0.0000,0.5290
0.4706,0.0000,0.5294
0.4779,0.0000,0.5221
0.4672,0.0073,0.5255
0.4706,0.0073,0.5221
0.4818,0.0000,0.5182
0.4891,0.0000,0.5109
0.4853,0.0000,0.5147
0.4853,0.0000,0.5147
0.4815,0.0000,0.5185
0.4853,0.0000,0.5147
0.4745,0.0146,0.5109
0.4815,0.0074,0.5111
0.4853,0.0000,0.5147
0.4776,0.0000,0.5224
0.4706,0.0073,0.5221
0.4812,0.0000,0.5188
