# Au,Cu,Pt
0.3776,0.3307,0.2917
0.3796,0.3272,0.2932
0.3779,0.3281,0.2940
0.3799,0.3272,0.2929
0.3767,0.3289,0.2944
0.3760,0.3280,0.2960
0.3753,0.3298,0.2949
0.3747,0.3288,0.2965
0.3740,0.3306,0.2954
0.3733,0.3297,0.2970
0.3699,0.3315,0.2986
0.3681,0.3324,0.2995
0.3654,0.3324,0.3022
0.3664,0.3306,0.3030
0.3657,0.3324,0.3019
0.3667,0.3305,0.3028
0.3677,0.3287,0.3036
0.3642,0.3305,0.3053
0.3662,0.3268,0.3070
0.3644,0.3277,0.3079
0.3626,0.3286,0.3088
0.3636,0.3267,0.3097
0.3628,0.3286,0.3086
0.3629,0.3257,0.3114
0.3621,0.3247,0.3132
0.3613,0.3237,0.3150
0.3602,0.3257,0.3141
0.3613,0.3237,0.3150
0.3623,0.3217,0.3160
0.3594,0.3217,0.3189
0.3557,0.3236,0.3207
0.3578,0.3196,0.3226
0.3588,0.3206,0.3206
0.3580,0.3195,0.3225
0.3542,0.3214,0.3244
0.3563,0.3233,0.3204
0.3524,0.3253,0.3223
0.3524,0.3253,0.3223
0.3515,0.3243,0.3242
0.3536,0.3232,0.3232
0.3497,0.3251,0.3252
0.3518,0.3241,0.3241
0.3498,0.3251,0.3251
0.3478,0.3261,0.3261
0.3438,0.3281,0.3281
0.3448,0.3292,0.3260
0.3459,0.3271,0.3270
0.3481,0.3260,0.3259
0.3503,0.3217,0.3280
0.3514,0.3227,0.3259
0.3494,0.3237,0.3269
0.3473,0.3247,0.3280
0.3452,0.3258,0.3290
0.3463,0.3236,0.3301
0.3441,0.3247,0.3312
0.3441,0.3247,0.3312
0.3432,0.3235,0.3333
0.3443,0.3246,0.3311
0.3388,0.3290,0.3322
0.3388,0.3290,0.3322
0.3367,0.3300,0.3333
0.3389,0.3256,0.3355
0.3355,0.3256,0.3389
0.3322,0.3256,0.3422
0.3334,0.3233,0.3433
0.3311,0.3244,0.3445
0.3322,0.3255,0.3423
0.3345,0.3277,0.3378
0.3333,0.3265,0.3402
0.3368,0.3265,0.3367
0.3333,0.3299,0.3368
0.3322,0.3288,0.3390
0.3345,0.3276,0.3379
0.3345,0.3241,0.3414
0.3345,0.3241,0.3414
0.3356,0.3253,0.3391
0.3345,0.3276,0.3379
0.3345,0.3310,0.3345
0.3345,0.3310,0.3345
0.3357,0.3287,0.3356
0.3333,0.3299,0.3368
0.3333,0.3299,0.3368
0.3310,0.3310,0.3380
0.3322,0.3322,0.3356
0.3298,0.3333,0.3369
0.3298,0.3369,0.3333
0.3321,0.3322,0.3357
0.3322,0.3286,0.3392
0.3298,0.3298,0.3404
0.3322,0.3321,0.3357
0.3334,0.3333,0.3333
0.3358,0.3357,0.3285
0.3358,0.3321,0.3321
0.3346,0.3345,0.3309
0.3321,0.3358,0.3321
0.3321,0.3358,0.3321
0.3346,0.3382,0.3272
0.3309,0.3382,0.3309
0.3309,0.3382,0.3309
0.3284,0.3395,0.3321
0.3296,0.3408,0.3296
0.3271,0.3420,0.3309
0.3271,0.3420,0.3309
0.3259,0.3408,0.3333
0.3259,0.3408,0.3333
0.3271,0.3421,0.3308
0.3295,0.3447,0.3258
0.3295,0.3447,0.3258
0.3295,0.3447,0.3258
0.3270,0.3460,0.3270
0.3283,0.3434,0.3283
0.3283,0.3434,0.3283
0.3283,0.3434,0.3283
0.3308,0.3384,0.3308
0.3308,0.3384,0.3308
0.3257,0.3410,0.3333
0.3257,0.3410,0.3333
0.3243,0.3398,0.3359
0.3256,0.3411,0.3333
0.3295,0.3372,0.3333
0.3269,0.3385,0.3346
0.3256,0.3411,0.3333
0.3269,0.3385,0.3346
0.3281,0.3399,0.3320
0.3346,0.3346,0.3308
0.3346,0.3308,0.3346
0.3333,0.3255,0.3412
0.3333,0.3255,0.3412
0.3360,0.3201,0.3439
0.3333,0.3214,0.3453
0.3307,0.3227,0.3466
0.3347,0.3187,0.3466
0.3387,0.3147,0.3466
0.3360,0.3160,0.3480
0.3375,0.3086,0.3539
0.3387,0.3065,0.3548
0.3374,0.3092,0.3534
0.3414,0.3052,0.3534
0.3361,0.3112,0.3527
0.3290,0.3120,0.3590
0.3403,0.3067,0.3530
0.3445,0.3025,0.3530
0.3460,0.2996,0.3544
0.3502,0.2954,0.3544
0.3517,0.2924,0.3559
0.3502,0.2911,0.3587
0.3517,0.2881,0.3602
0.3502,0.2869,0.3629
0.3517,0.2839,0.3644
0.3532,0.2808,0.3660
0.3547,0.2778,0.3675
0.3568,0.2687,0.3745
0.3556,0.2711,0.3733
0.3527,0.2723,0.3750
0.3527,0.2678,0.3795
0.3558,0.2703,0.3739
0.3591,0.2636,0.3773
0.3624,0.2615,0.3761
0.3657,0.2593,0.3750
0.3657,0.2593,0.3750
0.3658,0.2546,0.3796
0.3674,0.2465,0.3861
0.3674,0.2465,0.3861
0.3704,0.2454,0.3842
0.3750,0.2361,0.3889
0.3767,0.2372,0.3861
0.3733,0.2396,0.3871
0.3853,0.2294,0.3853
0.3853,0.2294,0.3853
0.3825,0.2304,0.3871
0.3825,0.2258,0.3917
0.3809,0.2286,0.3905
0.3857,0.2191,0.3952
0.3846,0.2212,0.3942
0.3894,0.2164,0.3942
0.3831,0.2139,0.4030
0.3788,0.2172,0.4040
0.3826,0.2143,0.4031
0.3866,0.2113,0.4021
0.3917,0.2062,0.4021
0.3970,0.1960,0.4070
0.3939,0.1970,0.4091
0.3959,0.1929,0.4112
0.3959,0.1878,0.4163
0.4000,0.1842,0.4158
0.4011,0.1872,0.4117
0.4032,0.1828,0.4140
0.4054,0.1784,0.4162
0.4086,0.1774,0.4140
0.4140,0.1667,0.4193
0.4086,0.1667,0.4247
0.4131,0.1630,0.4239
0.4108,0.1676,0.4216
0.4108,0.1622,0.4270
0.4118,0.1658,0.4224
0.4140,0.1613,0.4247
0.4140,0.1613,0.4247
0.4130,0.1576,0.4294
0.4162,0.1568,0.4270
0.4239,0.1522,0.4239
0.4324,0.1460,0.4216
0.4317,0.1421,0.4262
0.4395,0.1374,0.4231
0.4389,0.1333,0.4278
0.4438,0.1236,0.4326
0.4494,0.1180,0.4326
0.4494,0.1180,0.4326
0.4678,0.1053,0.4269
0.4489,0.1079,0.4432
0.4497,0.1065,0.4438
0.4451,0.1040,0.4509
0.4425,0.1035,0.4540
0.4477,0.0988,0.4535
0.4529,0.1000,0.4471
0.4556,0.0888,0.4556
0.4530,0.0882,0.4588
0.4530,0.0882,0.4588
0.4524,0.0833,0.4643
0.4491,0.0838,0.4671
0.4518,0.0843,0.4639
0.4578,0.0783,0.4639
0.4578,0.0723,0.4699
0.4634,0.0671,0.4695
0.4650,0.0637,0.4713
0.4650,0.0573,0.4777
0.4586,0.0573,0.4841
0.4581,0.0516,0.4903
0.4575,0.0458,0.4967
0.4636,0.0397,0.4967
0.4702,0.0331,0.4967
0.4671,0.0395,0.4934
0.4737,0.0329,0.4934
0.4667,0.0333,0.5000
0.4698,0.0268,0.5034
0.4859,0.0211,0.4930
0.4859,0.0211,0.4930
0.4857,0.0214,0.4929
0.4893,0.0213,0.4894
0.4929,0.0214,0.4857
0.4929,0.0214,0.4857
0.4965,0.0138,0.4897
0.5035,0.0000,0.4965
0.5000,0.0069,0.4931
0.5035,0.0000,0.4965
0.5000,0.0000,0.5000
0.5035,0.0000,0.4965
0.5000,0.0000,0.5000
0.4965,0.0000,0.5035
0.4894,0.0000,0.5106
0.4965,0.0000,0.5035
0.5000,0.0000,0.5000
0.4929,0.0071,0.5000
0.4928,0.0000,0.5072
0.4853,0.0000,0.5147
0.4779,0.0000,0.5221
0.4776,0.0000,0.5224
0.4701,0.0000,0.5299
0.4593,0.0074,0.5333
0.4667,0.0074,0.5259
0.4627,0.0149,0.5224
