# Au,Cu,Pt
0.3385,0.3203,0.3412
0.3351,0.3220,0.3429
0.3369,0.3184,0.3447
0.3360,0.3174,0.3466
0.3351,0.3192,0.3457
0.3315,0.3209,0.3476
0.3324,0.3217,0.3459
0.3288,0.3235,0.3477
0.3297,0.3216,0.3487
0.3288,0.3207,0.3505
0.3306,0.3169,0.3525
0.3297,0.3187,0.3516
0.3287,0.3177,0.3536
0.3296,0.3186,0.3518
0.3296,0.3186,0.3518
0.3315,0.3175,0.3510
0.3324,0.3184,0.3492
0.3315,0.3202,0.3483
0.3296,0.3211,0.3493
0.3286,0.3201,0.3513
0.3305,0.3191,0.3504
0.3305,0.3191,0.3504
0.3286,0.3200,0.3514
0.3324,0.3152,0.3524
0.3343,0.3141,0.3516
0.3343,0.3170,0.3487
0.3362,0.3131,0.3507
0.3343,0.3140,0.3517
0.3363,0.3099,0.3538
0.3382,0.3059,0.3559
0.3363,0.3068,0.3569
0.3373,0.3077,0.3550
0.3363,0.3097,0.3540
0.3363,0.3097,0.3540
0.3353,0.3088,0.3559
0.3343,0.3107,0.3550
0.3353,0.3086,0.3561
0.3353,0.3086,0.3561
0.3343,0.3075,0.3582
0.3333,0.3063,0.3604
0.3354,0.3021,0.3625
0.3374,0.3039,0.3587
0.3384,0.3018,0.3598
0.3405,0.2975,0.3620
0.3436,0.2975,0.3589
0.3415,0.2985,0.3600
0.3375,0.3003,0.3622
0.3385,0.3012,0.3603
0.3375,0.3031,0.3594
0.3396,0.3050,0.3554
0.3386,0.3070,0.3544
0.3386,0.3070,0.3544
0.3397,0.3048,0.3555
0.3419,0.3035,0.3546
0.3429,0.3045,0.3526
0.3419,0.3032,0.3549
0.3430,0.3042,0.3528
0.3409,0.3052,0.3539
0.3398,0.3074,0.3528
0.3419,0.3065,0.3516
0.3387,0.3097,0.3516
0.3398,0.3074,0.3528
0.3388,0.3062,0.3550
0.3388,0.3062,0.3550
0.3377,0.3082,0.3541
0.3366,0.3102,0.3532
0.3366,0.3102,0.3532
0.3355,0.3123,0.3522
0.3355,0.3123,0.3522
0.3322,0.3123,0.3555
0.3311,0.3146,0.3543
0.3333,0.3135,0.3532
0.3355,0.3123,0.3522
0.3311,0.3144,0.3545
0.3333,0.3165,0.3502
0.3356,0.3154,0.3490
0.3367,0.3165,0.3468
0.3378,0.3142,0.3480
0.3389,0.3154,0.3457
0.3401,0.3131,0.3468
0.3401,0.3131,0.3468
0.3356,0.3153,0.3491
0.3345,0.3140,0.3515
0.3322,0.3151,0.3527
0.3333,0.3162,0.3505
0.3311,0.3174,0.3515
0.3311,0.3174,0.3515
0.3276,0.3174,0.3550
0.3253,0.3185,0.3562
0.3265,0.3196,0.3539
0.3288,0.3185,0.3527
0.3276,0.3174,0.3550
0.3276,0.3174,0.3550
0.3288,0.3185,0.3527
0.3276,0.3207,0.3517
0.3299,0.3194,0.3507
0.3275,0.3206,0.3519
0.3275,0.3206,0.3519
0.3263,0.3228,0.3509
0.3228,0.3228,0.3544
0.3252,0.3217,0.3531
0.3252,0.3217,0.3531
0.3217,0.3252,0.3531
0.3228,0.3228,0.3544
0.3240,0.3206,0.3554
0.3275,0.3206,0.3519
0.3287,0.3217,0.3496
0.3263,0.3228,0.3509
0.3228,0.3263,0.3509
0.3228,0.3263,0.3509
0.3180,0.3286,0.3534
0.3191,0.3298,0.3511
0.3143,0.3321,0.3536
0.3154,0.3298,0.3548
0.3141,0.3321,0.3538
0.3152,0.3333,0.3515
0.3141,0.3357,0.3502
0.3152,0.3333,0.3515
0.3141,0.3357,0.3502
0.3164,0.3345,0.3491
0.3141,0.3357,0.3502
0.3141,0.3357,0.3502
0.3127,0.3382,0.3491
0.3150,0.3333,0.3517
0.3150,0.3333,0.3517
0.3139,0.3358,0.3503
0.3125,0.3346,0.3529
0.3136,0.3358,0.3506
0.3148,0.3333,0.3519
0.3111,0.3370,0.3519
0.3097,0.3396,0.3507
0.3109,0.3408,0.3483
0.3086,0.3420,0.3494
0.3071,0.3408,0.3521
0.3039,0.3346,0.3615
0.3050,0.3321,0.3629
0.3097,0.3358,0.3545
0.3134,0.3321,0.3545
0.3120,0.3308,0.3572
0.3089,0.3282,0.3629
0.3086,0.3281,0.3633
0.3098,0.3294,0.3608
0.3122,0.3281,0.3597
0.3135,0.3333,0.3532
0.3102,0.3306,0.3592
0.3141,0.3264,0.3595
0.3167,0.3208,0.3625
0.3138,0.3222,0.3640
0.3193,0.3193,0.3614
0.3193,0.3193,0.3614
0.3222,0.3180,0.3598
0.3180,0.3180,0.3640
0.3180,0.3180,0.3640
0.3233,0.3060,0.3707
0.3151,0.3067,0.3782
0.3165,0.3080,0.3755
0.3149,0.3064,0.3787
0.3234,0.3021,0.3745
0.3234,0.3021,0.3745
0.3234,0.3021,0.3745
0.3262,0.2961,0.3777
0.3262,0.2961,0.3777
0.3262,0.2875,0.3863
0.3276,0.2888,0.3836
0.3244,0.2845,0.3911
0.3290,0.2763,0.3947
0.3246,0.2763,0.3991
0.3260,0.2775,0.3965
0.3274,0.2744,0.3982
0.3319,0.2743,0.3938
0.3289,0.2755,0.3956
0.3259,0.2768,0.3973
0.3259,0.2768,0.3973
0.3259,0.2723,0.4018
0.3273,0.2691,0.4036
0.3303,0.2670,0.4027
0.3348,0.2625,0.4027
0.3363,0.2601,0.4036
0.3287,0.2593,0.4120
0.3286,0.2629,0.4085
0.3255,0.2594,0.4151
0.3255,0.2547,0.4198
0.3318,0.2464,0.4218
0.3270,0.2465,0.4265
0.3235,0.2402,0.4363
