# Au,Cu,Pt
0.3202,0.1966,0.4832
0.3258,0.1910,0.4832
0.3258,0.1910,0.4832
0.3315,0.1910,0.4775
0.3277,0.1864,0.4859
0.3295,0.1875,0.4830
0.3371,0.1798,0.4831
0.3352,0.1788,0.4860
0.3352,0.1732,0.4916
0.3371,0.1685,0.4944
0.3390,0.1638,0.4972
0.3371,0.1543,0.5086
0.3371,0.1600,0.5029
0.3448,0.1552,0.5000
0.3428,0.1543,0.5029
0.3428,0.1486,0.5086
0.3486,0.1371,0.5143
0.3486,0.1371,0.5143
0.3526,0.1329,0.5145
0.3526,0.1329,0.5145
0.3526,0.1272,0.5202
0.3675,0.1084,0.5241
0.3697,0.1091,0.5212
0.3742,0.1104,0.5154
0.3704,0.1173,0.5123
0.3750,0.1125,0.5125
0.3797,0.1076,0.5127
0.3822,0.1019,0.5159
0.3822,0.1019,0.5159
0.3807,0.0903,0.5290
0.3766,0.0974,0.5260
0.3750,0.0921,0.5329
0.3775,0.0861,0.5364
0.3820,0.0833,0.5347
0.3862,0.0759,0.5379
0.3862,0.0690,0.5448
0.3862,0.0621,0.5517
0.3889,0.0555,0.5556
0.3916,0.0490,0.5594
0.3958,0.0417,0.5625
0.3986,0.0350,0.5664
0.4014,0.0282,0.5704
0.4085,0.0211,0.5704
0.4143,0.0143,0.5714
0.4214,0.0072,0.5714
0.4214,0.0072,0.5714
0.4286,0.0071,0.5643
0.4388,0.0072,0.5540
0.4388,0.0072,0.5540
0.4357,0.0143,0.5500
0.4420,0.0073,0.5507
0.4420,0.0073,0.5507
0.4420,0.0073,0.5507
0.4348,0.0145,0.5507
0.4348,0.0145,0.5507
0.4338,0.0074,0.5588
0.4348,0.0072,0.5580
0.4348,0.0072,0.5580
0.4275,0.0145,0.5580
0.4245,0.0144,0.5611
0.4275,0.0073,0.5652
0.4317,0.0072,0.5611
0.4191,0.0074,0.5735
0.4161,0.0073,0.5766
0.4222,0.0000,0.5778
0.4148,0.0074,0.5778
0.4179,0.0000,0.5821
0.4104,0.0000,0.5896
0.4104,0.0000,0.5896
0.4044,0.0074,0.5882
0.4030,0.0000,0.5970
0.4060,0.0000,0.5940
0.3985,0.0075,0.5940
0.3985,0.0075,0.5940
0.4046,0.0000,0.5954
0.4060,0.0000,0.5940
0.4015,0.0000,0.5985
0.3942,0.0073,0.5985
0.3942,0.0000,0.6058
0.3971,0.0000,0.6029
0.3971,0.0073,0.5956
0.4030,0.0000,0.5970
0.4030,0.0000,0.5970
0.4000,0.0000,0.6000
0.3985,0.0000,0.6015
0.3910,0.0075,0.6015
0.3910,0.0000,0.6090
0.3835,0.0075,0.6090
0.3893,0.0000,0.6107
0.3893,0.0000,0.6107
