# Au,Cu,Pt
0.3411,0.3125,0.3464
0.3403,0.3115,0.3482
0.3395,0.3105,0.3500
0.3386,0.3095,0.3519
0.3378,0.3085,0.3537
0.3386,0.3067,0.3547
0.3396,0.3048,0.3556
0.3396,0.3075,0.3529
0.3414,0.3038,0.3548
0.3396,0.3046,0.3558
0.3388,0.3062,0.3550
0.3369,0.3071,0.3560
0.3379,0.3052,0.3569
0.3342,0.3069,0.3589
0.3352,0.3049,0.3599
0.3361,0.3030,0.3609
0.3342,0.3039,0.3619
0.3361,0.3028,0.3611
0.3324,0.3045,0.3631
0.3333,0.3025,0.3642
0.3333,0.3025,0.3642
0.3343,0.3005,0.3652
0.3324,0.3014,0.3662
0.3324,0.2986,0.3690
0.3343,0.2946,0.3711
0.3352,0.2955,0.3693
0.3381,0.2954,0.3665
0.3371,0.2943,0.3686
0.3362,0.2963,0.3675
0.3362,0.2963,0.3675
0.3352,0.2980,0.3668
0.3343,0.2997,0.3660
0.3333,0.3015,0.3652
0.3353,0.3032,0.3615
0.3372,0.3050,0.3578
0.3363,0.3038,0.3599
0.3373,0.3047,0.3580
0.3393,0.3036,0.3571
0.3422,0.3036,0.3542
0.3422,0.3036,0.3542
0.3422,0.3036,0.3542
0.3452,0.3006,0.3542
0.3463,0.2985,0.3552
0.3474,0.2961,0.3565
0.3496,0.2948,0.3556
0.3476,0.2957,0.3567
0.3466,0.2945,0.3589
0.3435,0.2945,0.3620
0.3435,0.2945,0.3620
0.3457,0.2901,0.3642
0.3488,0.2870,0.3642
0.3499,0.2879,0.3622
0.3508,0.2892,0.3600
0.3508,0.2861,0.3631
0.3519,0.2870,0.3611
0.3478,0.2888,0.3634
0.3469,0.2875,0.3656
0.3490,0.2862,0.3648
0.3470,0.2871,0.3659
0.3460,0.2857,0.3683
0.3429,0.2857,0.3714
0.3429,0.2857,0.3714
0.3408,0.2866,0.3726
0.3397,0.2853,0.3750
0.3419,0.2807,0.3774
0.3409,0.2792,0.3799
0.3420,0.2769,0.3811
0.3443,0.2787,0.3770
0.3454,0.2763,0.3783
0.3477,0.2715,0.3808
0.3465,0.2706,0.3829
0.3488,0.2724,0.3788
0.3477,0.2748,0.3775
0.3500,0.2733,0.3767
0.3512,0.2742,0.3746
0.3490,0.2752,0.3758
0.3512,0.2742,0.3746
0.3500,0.2767,0.3733
0.3490,0.2752,0.3758
0.3467,0.2733,0.3800
0.3456,0.2718,0.3826
0.3456,0.2718,0.3826
0.3456,0.2718,0.3826
0.3478,0.2709,0.3813
0.3456,0.2718,0.3826
0.3446,0.2736,0.3818
0.3424,0.2746,0.3830
0.3435,0.2755,0.3810
0.3435,0.2721,0.3844
0.3425,0.2740,0.3835
0.3425,0.2740,0.3835
0.3436,0.2715,0.3849
0.3402,0.2715,0.3883
0.3356,0.2734,0.3910
0.3368,0.2743,0.3889
0.3380,0.2753,0.3867
0.3368,0.2737,0.3895
0.3357,0.2756,0.3887
0.3392,0.2721,0.3887
0.3404,0.2731,0.3865
0.3381,0.2740,0.3879
0.3416,0.2740,0.3844
0.3404,0.2731,0.3865
0.3380,0.2782,0.3838
0.3380,0.2817,0.3803
0.3357,0.2791,0.3852
0.3369,0.2766,0.3865
0.3357,0.2791,0.3852
0.3357,0.2791,0.3852
0.3381,0.2740,0.3879
0.3381,0.2740,0.3879
0.3393,0.2750,0.3857
0.3357,0.2786,0.3857
0.3333,0.2796,0.3871
0.3333,0.2796,0.3871
0.3309,0.2806,0.3885
0.3309,0.2806,0.3885
0.3321,0.2816,0.3863
0.3321,0.2816,0.3863
0.3346,0.2836,0.3818
0.3358,0.2847,0.3795
0.3469,0.2841,0.3690
0.3481,0.2815,0.3704
0.3469,0.2804,0.3727
0.3469,0.2841,0.3690
0.3456,0.2831,0.3713
0.3456,0.2831,0.3713
0.3418,0.2836,0.3746
0.3419,0.2831,0.3750
0.3419,0.2868,0.3713
0.3419,0.2868,0.3713
0.3419,0.2904,0.3677
0.3395,0.2915,0.3690
0.3407,0.2926,0.3667
0.3395,0.2948,0.3657
0.3383,0.2974,0.3643
0.3383,0.2974,0.3643
0.3420,0.2974,0.3606
0.3457,0.2937,0.3606
0.3457,0.2937,0.3606
0.3457,0.2937,0.3606
0.3494,0.2937,0.3569
0.3508,0.2910,0.3582
0.3508,0.2910,0.3582
0.3508,0.2910,0.3582
0.3534,0.2895,0.3571
0.3558,0.2884,0.3558
0.3585,0.2868,0.3547
0.3595,0.2884,0.3521
0.3558,0.2884,0.3558
0.3582,0.2873,0.3545
0.3582,0.2873,0.3545
0.3558,0.2884,0.3558
0.3595,0.2884,0.3521
0.3595,0.2884,0.3521
0.3595,0.2884,0.3521
0.3585,0.2906,0.3509
0.3585,0.2906,0.3509
0.3574,0.2890,0.3536
0.3563,0.2874,0.3563
0.3563,0.2912,0.3525
0.3577,0.2885,0.3538
0.3536,0.2852,0.3612
0.3536,0.2814,0.3650
0.3547,0.2793,0.3660
0.3536,0.2814,0.3650
0.3550,0.2824,0.3626
0.3530,0.2784,0.3686
0.3577,0.2769,0.3654
0.3566,0.2752,0.3682
0.3506,0.2749,0.3745
0.3548,0.2702,0.3750
0.3563,0.2712,0.3725
0.3577,0.2683,0.3740
0.3551,0.2694,0.3755
0.3580,0.2634,0.3786
0.3580,0.2634,0.3786
0.3610,0.2573,0.3817
0.3595,0.2603,0.3802
0.3583,0.2584,0.3833
0.3557,0.2594,0.3849
0.3578,0.2500,0.3922
0.3581,0.2533,0.3886
0.3596,0.2544,0.3860
0.3584,0.2522,0.3894
0.3555,0.2578,0.3867
0.3543,0.2556,0.3901
0.3543,0.2556,0.3901
0.3575,0.2489,0.3936
0.3562,0.2466,0.3972
0.3529,0.2444,0.4027
0.3516,0.2420,0.4064
0.3532,0.2385,0.4083
0.3502,0.2350,0.4148
0.3518,0.2315,0.4167
0.3551,0.2290,0.4159
0.3568,0.2254,0.4178
0.3689,0.2088,0.4223
0.3645,0.2118,0.4237
0.3682,0.2089,0.4229
0.3700,0.2150,0.4150
0.3750,0.2150,0.4100
