# Au,Cu,Pt
0.3125,0.3594,0.3281
0.3141,0.3560,0.3299
0.3158,0.3526,0.3316
0.3148,0.3519,0.3333
0.3165,0.3484,0.3351
0.3182,0.3476,0.3342
0.3172,0.3468,0.3360
0.3154,0.3477,0.3369
0.3162,0.3487,0.3351
0.3162,0.3487,0.3351
0.3179,0.3478,0.3343
0.3197,0.3442,0.3361
0.3178,0.3452,0.3370
0.3187,0.3461,0.3352
0.3168,0.3471,0.3361
0.3158,0.3490,0.3352
0.3120,0.3510,0.3370
0.3101,0.3519,0.3380
0.3118,0.3539,0.3343
0.3079,0.3559,0.3362
0.3097,0.3579,0.3324
0.3086,0.3571,0.3343
0.3094,0.3582,0.3324
0.3112,0.3545,0.3343
0.3112,0.3574,0.3314
0.3102,0.3565,0.3333
0.3090,0.3557,0.3353
0.3079,0.3578,0.3343
0.3097,0.3540,0.3363
0.3086,0.3561,0.3353
0.3086,0.3561,0.3353
0.3045,0.3582,0.3373
0.3066,0.3601,0.3333
0.3054,0.3623,0.3323
0.3063,0.3604,0.3333
0.3051,0.3626,0.3323
0.3061,0.3606,0.3333
0.3061,0.3606,0.3333
0.3061,0.3636,0.3303
0.3049,0.3628,0.3323
0.3028,0.3639,0.3333
0.3015,0.3631,0.3354
0.3034,0.3653,0.3313
0.3034,0.3653,0.3313
0.3034,0.3653,0.3313
0.3012,0.3665,0.3323
0.3012,0.3665,0.3323
0.3012,0.3665,0.3323
0.3012,0.3665,0.3323
0.3012,0.3665,0.3323
0.3022,0.3645,0.3333
0.3043,0.3634,0.3323
0.3043,0.3665,0.3292
0.3043,0.3665,0.3292
0.3031,0.3688,0.3281
0.3050,0.3679,0.3271
0.3082,0.3648,0.3270
0.3070,0.3639,0.3291
0.3057,0.3663,0.3280
0.3079,0.3651,0.3270
0.3070,0.3639,0.3291
0.3026,0.3662,0.3312
0.3035,0.3642,0.3323
0.3013,0.3654,0.3333
0.3023,0.3633,0.3344
0.3010,0.3657,0.3333
0.2997,0.3648,0.3355
0.3017,0.3639,0.3344
0.3036,0.3631,0.3333
0.3069,0.3598,0.3333
0.3090,0.3588,0.3322
0.3100,0.3600,0.3300
0.3110,0.3579,0.3311
