# Au,Cu,Pt
0.3359,0.3021,0.3620
0.3351,0.3037,0.3612
0.3342,0.3026,0.3632
0.3360,0.3016,0.3624
0.3378,0.2979,0.3643
0.3360,0.2987,0.3653
0.3342,0.2995,0.3663
0.3333,0.2984,0.3683
0.3297,0.3000,0.3703
0.3288,0.3016,0.3696
0.3279,0.3033,0.3688
0.3269,0.3022,0.3709
0.3287,0.3039,0.3674
0.3297,0.3019,0.3684
0.3278,0.3028,0.3694
0.3278,0.3000,0.3722
0.3278,0.3000,0.3722
0.3296,0.2989,0.3715
0.3315,0.2977,0.3708
0.3315,0.2977,0.3708
0.3333,0.2966,0.3701
0.3314,0.2975,0.3711
0.3333,0.2935,0.3732
0.3352,0.2894,0.3754
0.3372,0.2882,0.3746
0.3400,0.2882,0.3718
0.3420,0.2841,0.3739
0.3411,0.2857,0.3732
0.3431,0.2874,0.3695
0.3392,0.2891,0.3717
0.3412,0.2849,0.3739
0.3393,0.2857,0.3750
0.3363,0.2887,0.3750
0.3373,0.2866,0.3761
0.3363,0.2857,0.3780
0.3373,0.2866,0.3761
0.3393,0.2823,0.3784
0.3374,0.2831,0.3795
0.3353,0.2840,0.3807
0.3333,0.2849,0.3818
0.3323,0.2866,0.3811
0.3333,0.2875,0.3792
0.3313,0.2883,0.3804
0.3323,0.2892,0.3785
0.3303,0.2901,0.3796
0.3282,0.2910,0.3808
0.3292,0.2919,0.3789
0.3281,0.2938,0.3781
0.3270,0.2925,0.3805
0.3270,0.2925,0.3805
0.3260,0.2943,0.3797
0.3280,0.2930,0.3790
0.3280,0.2930,0.3790
0.3280,0.2898,0.3822
0.3301,0.2917,0.3782
0.3290,0.2936,0.3774
0.3279,0.2955,0.3766
0.3257,0.2964,0.3779
0.3268,0.2974,0.3758
0.3246,0.2984,0.3770
0.3267,0.2970,0.3763
0.3267,0.2937,0.3796
0.3278,0.2914,0.3808
0.3267,0.2937,0.3796
0.3289,0.2957,0.3754
0.3311,0.2977,0.3712
0.3300,0.2967,0.3733
0.3267,0.3000,0.3733
0.3267,0.3000,0.3733
0.3278,0.3010,0.3712
0.3266,0.3030,0.3704
0.3288,0.2983,0.3729
0.3288,0.2983,0.3729
0.3322,0.2983,0.3695
0.3345,0.2969,0.3686
0.3345,0.2969,0.3686
0.3345,0.3003,0.3652
0.3379,0.2969,0.3652
0.3379,0.2969,0.3652
0.3379,0.2969,0.3652
0.3402,0.2990,0.3608
0.3414,0.3000,0.3586
0.3425,0.2976,0.3599
0.3402,0.2990,0.3608
0.3414,0.2965,0.3621
0.3426,0.2941,0.3633
0.3437,0.2917,0.3646
0.3437,0.2917,0.3646
0.3437,0.2882,0.3681
0.3449,0.2892,0.3659
0.3415,0.2892,0.3693
0.3415,0.2927,0.3658
0.3415,0.2892,0.3693
0.3415,0.2892,0.3693
0.3415,0.2892,0.3693
0.3437,0.2882,0.3681
0.3415,0.2892,0.3693
0.3427,0.2902,0.3671
0.3392,0.2937,0.3671
0.3392,0.2902,0.3706
0.3404,0.2912,0.3684
0.3427,0.2902,0.3671
0.3439,0.2877,0.3684
0.3474,0.2842,0.3684
0.3474,0.2877,0.3649
0.3486,0.2887,0.3627
0.3498,0.2898,0.3604
0.3511,0.2908,0.3581
0.3523,0.2918,0.3559
0.3572,0.2857,0.3571
0.3572,0.2857,0.3571
0.3574,0.2852,0.3574
0.3563,0.2873,0.3564
0.3566,0.2905,0.3529
0.3566,0.2905,0.3529
0.3553,0.2930,0.3517
0.3530,0.2941,0.3529
0.3530,0.2941,0.3529
0.3518,0.2926,0.3556
0.3506,0.2952,0.3542
0.3493,0.2978,0.3529
0.3481,0.3000,0.3519
0.3508,0.3022,0.3470
0.3534,0.2970,0.3496
0.3510,0.2981,0.3509
0.3550,0.2939,0.3511
0.3538,0.2962,0.3500
0.3577,0.2923,0.3500
0.3591,0.2896,0.3513
0.3566,0.2907,0.3527
0.3580,0.2879,0.3541
0.3555,0.2890,0.3555
0.3583,0.2874,0.3543
0.3543,0.2874,0.3583
0.3572,0.2857,0.3571
0.3546,0.2868,0.3586
0.3506,0.2869,0.3625
0.3520,0.2880,0.3600
0.3492,0.2857,0.3651
0.3466,0.2869,0.3665
0.3466,0.2869,0.3665
0.3414,0.2891,0.3695
0.3441,0.2875,0.3684
0.3441,0.2875,0.3684
0.3441,0.2875,0.3684
0.3455,0.2886,0.3659
0.3428,0.2903,0.3669
0.3441,0.2875,0.3684
0.3455,0.2886,0.3659
0.3469,0.2898,0.3633
0.3469,0.2857,0.3674
0.3510,0.2857,0.3633
0.3510,0.2857,0.3633
0.3525,0.2869,0.3606
0.3460,0.2869,0.3671
0.3489,0.2851,0.3660
0.3519,0.2790,0.3691
0.3534,0.2802,0.3664
0.3534,0.2802,0.3664
0.3519,0.2790,0.3691
0.3534,0.2716,0.3750
0.3491,0.2716,0.3793
0.3476,0.2747,0.3777
0.3476,0.2747,0.3777
0.3491,0.2716,0.3793
0.3507,0.2727,0.3766
0.3534,0.2716,0.3750
0.3511,0.2667,0.3822
0.3527,0.2678,0.3795
0.3527,0.2678,0.3795
0.3502,0.2627,0.3871
0.3636,0.2546,0.3818
0.3624,0.2569,0.3807
0.3624,0.2569,0.3807
0.3670,0.2477,0.3853
0.3657,0.2500,0.3843
0.3692,0.2430,0.3878
0.3709,0.2441,0.3850
0.3709,0.2441,0.3850
0.3738,0.2430,0.3832
0.3773,0.2406,0.3821
0.3809,0.2381,0.3810
0.3828,0.2344,0.3828
0.3923,0.2249,0.3828
0.3894,0.2260,0.3846
0.3913,0.2174,0.3913
0.3913,0.2174,0.3913
0.3951,0.2146,0.3903
0.3971,0.2108,0.3921
0.3970,0.2059,0.3971
0.4089,0.2020,0.3891
0.4133,0.1939,0.3928
0.4145,0.1969,0.3886
0.4167,0.1979,0.3854
0.4167,0.1927,0.3906
0.4219,0.1823,0.3958
0.4189,0.1832,0.3979
0.4158,0.1842,0.4000
0.4180,0.1799,0.4021
0.4180,0.1799,0.4021
0.4149,0.1808,0.4043
0.4180,0.1799,0.4021
0.4202,0.1755,0.4043
0.4180,0.1746,0.4074
0.4158,0.1789,0.4053
0.4211,0.1789,0.4000
0.4202,0.1755,0.4043
0.4247,0.1721,0.4032
0.4270,0.1676,0.4054
0.4262,0.1639,0.4099
0.4239,0.1630,0.4131
0.4237,0.1639,0.4124
0.4286,0.1600,0.4114
0.4286,0.1600,0.4114
0.4335,0.1503,0.4162
0.4360,0.1512,0.4128
0.4353,0.1471,0.4176
0.4386,0.1462,0.4152
0.4405,0.1369,0.4226
0.4379,0.1420,0.4201
0.4431,0.1377,0.4192
0.4431,0.1377,0.4192
0.4518,0.1325,0.4157
0.4512,0.1281,0.4207
0.4586,0.1274,0.4140
0.4645,0.1161,0.4194
0.4645,0.1161,0.4194
0.4640,0.1046,0.4314
0.4706,0.1046,0.4248
0.4671,0.1053,0.4276
0.4641,0.1111,0.4248
0.4671,0.1053,0.4276
0.4702,0.0993,0.4305
0.4698,0.0940,0.4362
0.4789,0.0845,0.4366
0.4730,0.0811,0.4459
0.4765,0.0805,0.4430
0.4832,0.0738,0.4430
0.4899,0.0671,0.4430
0.4899,0.0671,0.4430
0.4932,0.0608,0.4460
0.4932,0.0541,0.4527
0.4966,0.0476,0.4558
0.5034,0.0408,0.4558
0.5102,0.0340,0.4558
0.5102,0.0340,0.4558
0.5102,0.0272,0.4626
0.5102,0.0272,0.4626
0.5172,0.0207,0.4621
0.5241,0.0138,0.4621
0.5315,0.0070,0.4615
0.5315,0.0070,0.4615
0.5315,0.0070,0.4615
0.5390,0.0000,0.4610
0.5385,0.0070,0.4545
0.5493,0.0000,0.4507
0.5493,0.0000,0.4507
0.5563,0.0000,0.4437
0.5493,0.0000,0.4507
0.5503,0.0000,0.4497
0.5503,0.0000,0.4497
0.5411,0.0000,0.4589
0.5411,0.0000,0.4589
0.5374,0.0000,0.4626
0.5342,0.0000,0.4658
0.5342,0.0000,0.4658
0.5310,0.0000,0.4690
0.5347,0.0000,0.4653
0.5347,0.0000,0.4653
0.5352,0.0000,0.4648
0.5352,0.0000,0.4648
