# Au,Cu,Pt
0.3385,0.3438,0.3177
0.3377,0.3429,0.3194
0.3342,0.3447,0.3211
0.3307,0.3466,0.3227
0.3324,0.3431,0.3245
0.3307,0.3440,0.3253
0.3297,0.3432,0.3271
0.3306,0.3414,0.3280
0.3270,0.3433,0.3297
0.3279,0.3442,0.3279
0.3297,0.3433,0.3270
0.3315,0.3425,0.3260
0.3324,0.3407,0.3269
0.3287,0.3426,0.3287
0.3305,0.3417,0.3278
0.3315,0.3398,0.3287
0.3324,0.3380,0.3296
0.3324,0.3380,0.3296
0.3324,0.3408,0.3268
0.3315,0.3427,0.3258
0.3324,0.3437,0.3239
0.3333,0.3446,0.3221
0.3343,0.3428,0.3229
0.3352,0.3409,0.3239
0.3333,0.3419,0.3248
0.3324,0.3410,0.3266
0.3305,0.3419,0.3276
0.3343,0.3401,0.3256
0.3372,0.3372,0.3256
0.3333,0.3391,0.3276
0.3353,0.3382,0.3265
0.3343,0.3402,0.3255
0.3353,0.3412,0.3235
0.3363,0.3392,0.3245
0.3323,0.3413,0.3264
0.3333,0.3393,0.3274
0.3343,0.3403,0.3254
0.3333,0.3394,0.3273
0.3323,0.3414,0.3263
0.3323,0.3414,0.3263
0.3323,0.3414,0.3263
0.3333,0.3394,0.3273
0.3313,0.3435,0.3252
0.3293,0.3445,0.3262
0.3303,0.3425,0.3272
0.3323,0.3385,0.3292
0.3333,0.3395,0.3272
0.3354,0.3385,0.3261
0.3375,0.3375,0.3250
0.3365,0.3365,0.3270
0.3375,0.3344,0.3281
0.3396,0.3333,0.3271
0.3386,0.3354,0.3260
0.3385,0.3386,0.3229
0.3396,0.3365,0.3239
0.3418,0.3354,0.3228
0.3418,0.3354,0.3228
0.3408,0.3344,0.3248
0.3366,0.3365,0.3269
0.3386,0.3355,0.3259
0.3386,0.3355,0.3259
0.3366,0.3365,0.3269
0.3344,0.3344,0.3312
0.3355,0.3322,0.3323
0.3366,0.3366,0.3268
0.3376,0.3377,0.3247
0.3376,0.3377,0.3247
0.3376,0.3377,0.3247
0.3388,0.3355,0.3257
0.3377,0.3344,0.3279
0.3366,0.3366,0.3268
0.3355,0.3355,0.3290
