# Au,Cu,Pt
0.3307,0.3360,0.3333
0.3298,0.3351,0.3351
0.3290,0.3368,0.3342
0.3281,0.3386,0.3333
0.3298,0.3378,0.3324
0.3289,0.3396,0.3315
0.3280,0.3414,0.3306
0.3262,0.3423,0.3315
0.3270,0.3433,0.3297
0.3261,0.3424,0.3315
0.3243,0.3433,0.3324
0.3233,0.3452,0.3315
0.3223,0.3444,0.3333
0.3232,0.3453,0.3315
0.3222,0.3472,0.3306
0.3212,0.3492,0.3296
0.3202,0.3483,0.3315
0.3220,0.3503,0.3277
0.3230,0.3484,0.3286
0.3258,0.3484,0.3258
0.3267,0.3466,0.3267
0.3276,0.3476,0.3248
0.3267,0.3467,0.3266
0.3257,0.3458,0.3285
0.3247,0.3449,0.3304
0.3256,0.3459,0.3285
0.3275,0.3450,0.3275
0.3275,0.3450,0.3275
0.3255,0.3460,0.3285
0.3274,0.3422,0.3304
0.3284,0.3432,0.3284
0.3294,0.3442,0.3264
0.3274,0.3452,0.3274
0.3264,0.3443,0.3293
0.3223,0.3464,0.3313
0.3213,0.3484,0.3303
0.3213,0.3484,0.3303
0.3253,0.3434,0.3313
0.3263,0.3444,0.3293
0.3263,0.3444,0.3293
0.3273,0.3424,0.3303
0.3273,0.3424,0.3303
0.3263,0.3444,0.3293
0.3283,0.3465,0.3252
0.3303,0.3425,0.3272
0.3251,0.3436,0.3313
0.3271,0.3427,0.3302
0.3291,0.3417,0.3292
0.3291,0.3417,0.3292
0.3323,0.3386,0.3291
0.3323,0.3417,0.3260
0.3292,0.3448,0.3260
0.3291,0.3449,0.3260
0.3270,0.3460,0.3270
0.3291,0.3450,0.3259
0.3301,0.3462,0.3237
0.3312,0.3473,0.3215
0.3290,0.3484,0.3226
0.3290,0.3484,0.3226
0.3312,0.3474,0.3214
0.3279,0.3507,0.3214
0.3268,0.3497,0.3235
0.3279,0.3475,0.3246
0.3267,0.3466,0.3267
0.3289,0.3422,0.3289
0.3256,0.3455,0.3289
0.3256,0.3455,0.3289
0.3278,0.3478,0.3244
0.3255,0.3524,0.3221
0.3266,0.3535,0.3199
