# Au,Cu,Pt
0.3594,0.3073,0.3333
0.3560,0.3089,0.3351
0.3526,0.3105,0.3369
0.3545,0.3069,0.3386
0.3554,0.3051,0.3395
0.3537,0.3059,0.3404
0.3520,0.3067,0.3413
0.3539,0.3056,0.3405
0.3539,0.3083,0.3378
0.3558,0.3073,0.3369
0.3550,0.3062,0.3388
0.3560,0.3071,0.3369
0.3569,0.3052,0.3379
0.3552,0.3060,0.3388
0.3562,0.3041,0.3397
0.3562,0.3041,0.3397
0.3526,0.3058,0.3416
0.3536,0.3039,0.3425
0.3546,0.3047,0.3407
0.3555,0.3056,0.3389
0.3547,0.3073,0.3380
0.3539,0.3062,0.3399
0.3531,0.3079,0.3390
0.3523,0.3068,0.3409
0.3541,0.3060,0.3399
0.3541,0.3060,0.3399
0.3551,0.3040,0.3409
0.3543,0.3028,0.3429
0.3553,0.3037,0.3410
0.3534,0.3046,0.3420
0.3526,0.3064,0.3410
0.3547,0.3023,0.3430
0.3538,0.3012,0.3450
0.3519,0.3021,0.3460
0.3540,0.3009,0.3451
0.3522,0.2985,0.3493
0.3544,0.2943,0.3513
0.3565,0.2930,0.3505
0.3556,0.2918,0.3526
0.3556,0.2918,0.3526
0.3517,0.2936,0.3547
0.3538,0.2954,0.3508
0.3549,0.2963,0.3488
0.3541,0.2981,0.3478
0.3551,0.2960,0.3489
0.3541,0.2950,0.3509
0.3560,0.2941,0.3499
0.3583,0.2897,0.3520
0.3583,0.2897,0.3520
0.3585,0.2862,0.3553
0.3565,0.2870,0.3565
0.3576,0.2880,0.3544
0.3555,0.2889,0.3556
0.3578,0.2876,0.3546
0.3578,0.2876,0.3546
0.3578,0.2876,0.3546
0.3590,0.2852,0.3558
0.3601,0.2862,0.3537
0.3634,0.2797,0.3569
0.3625,0.2783,0.3592
0.3625,0.2783,0.3592
0.3625,0.2783,0.3592
0.3625,0.2783,0.3592
0.3625,0.2783,0.3592
0.3648,0.2801,0.3551
0.3660,0.2778,0.3562
0.3660,0.2778,0.3562
0.3660,0.2778,0.3562
0.3627,0.2811,0.3562
0.3648,0.2801,0.3551
0.3639,0.2787,0.3574
