# Au,Cu,Pt
0.3490,0.3151,0.3359
0.3482,0.3141,0.3377
0.3474,0.3131,0.3395
0.3483,0.3113,0.3404
0.3465,0.3122,0.3413
0.3475,0.3103,0.3422
0.3440,0.3120,0.3440
0.3431,0.3137,0.3432
0.3423,0.3154,0.3423
0.3414,0.3171,0.3415
0.3406,0.3188,0.3406
0.3425,0.3178,0.3397
0.3444,0.3140,0.3416
0.3426,0.3149,0.3425
0.3417,0.3139,0.3444
0.3444,0.3139,0.3417
0.3427,0.3146,0.3427
0.3446,0.3108,0.3446
0.3456,0.3088,0.3456
0.3476,0.3105,0.3419
0.3457,0.3114,0.3429
0.3448,0.3104,0.3448
0.3420,0.3132,0.3448
0.3411,0.3150,0.3439
0.3420,0.3160,0.3420
0.3411,0.3179,0.3410
0.3401,0.3169,0.3430
0.3401,0.3169,0.3430
0.3421,0.3129,0.3450
0.3441,0.3118,0.3441
0.3432,0.3106,0.3462
0.3442,0.3116,0.3442
0.3432,0.3136,0.3432
0.3442,0.3116,0.3442
0.3463,0.3134,0.3403
0.3473,0.3144,0.3383
0.3473,0.3144,0.3383
0.3454,0.3153,0.3393
0.3473,0.3144,0.3383
0.3464,0.3163,0.3373
0.3444,0.3172,0.3384
0.3454,0.3182,0.3364
0.3435,0.3191,0.3374
0.3445,0.3171,0.3384
0.3456,0.3180,0.3364
0.3425,0.3180,0.3395
0.3425,0.3180,0.3395
0.3395,0.3211,0.3394
0.3384,0.3231,0.3385
0.3374,0.3251,0.3375
0.3374,0.3251,0.3375
0.3395,0.3241,0.3364
0.3405,0.3251,0.3344
0.3396,0.3271,0.3333
0.3386,0.3291,0.3323
0.3428,0.3270,0.3302
0.3448,0.3260,0.3292
0.3470,0.3218,0.3312
0.3492,0.3238,0.3270
0.3514,0.3195,0.3291
0.3481,0.3228,0.3291
0.3492,0.3238,0.3270
0.3460,0.3270,0.3270
0.3471,0.3280,0.3249
0.3471,0.3280,0.3249
0.3481,0.3260,0.3259
0.3503,0.3249,0.3248
0.3503,0.3249,0.3248
0.3503,0.3249,0.3248
0.3526,0.3237,0.3237
0.3556,0.3206,0.3238
0.3567,0.3216,0.3217
0.3546,0.3227,0.3227
0.3537,0.3215,0.3248
0.3560,0.3204,0.3236
0.3539,0.3214,0.3247
0.3562,0.3203,0.3235
0.3562,0.3203,0.3235
0.3562,0.3203,0.3235
0.3541,0.3213,0.3246
0.3565,0.3201,0.3234
0.3565,0.3201,0.3234
0.3598,0.3201,0.3201
0.3598,0.3168,0.3234
0.3565,0.3201,0.3234
0.3534,0.3233,0.3233
0.3557,0.3188,0.3255
0.3581,0.3176,0.3243
0.3606,0.3129,0.3265
0.3584,0.3140,0.3276
0.3540,0.3161,0.3299
0.3517,0.3173,0.3310
0.3495,0.3183,0.3322
0.3483,0.3172,0.3345
0.3517,0.3173,0.3310
