# Au,Cu,Pt
0.3568,0.3333,0.3099
0.3534,0.3351,0.3115
0.3553,0.3342,0.3105
0.3518,0.3360,0.3122
0.3528,0.3342,0.3130
0.3520,0.3333,0.3147
0.3539,0.3351,0.3110
0.3531,0.3369,0.3100
0.3496,0.3388,0.3116
0.3478,0.3397,0.3125
0.3470,0.3415,0.3115
0.3452,0.3425,0.3123
0.3434,0.3434,0.3132
0.3444,0.3416,0.3140
0.3463,0.3379,0.3158
0.3426,0.3398,0.3176
0.3446,0.3361,0.3193
0.3437,0.3352,0.3211
0.3446,0.3362,0.3192
0.3418,0.3362,0.3220
0.3399,0.3371,0.3230
0.3419,0.3333,0.3248
0.3400,0.3343,0.3257
0.3410,0.3352,0.3238
0.3419,0.3362,0.3219
0.3400,0.3371,0.3229
0.3381,0.3409,0.3210
0.3343,0.3429,0.3228
0.3333,0.3448,0.3219
0.3343,0.3429,0.3228
0.3353,0.3410,0.3237
0.3372,0.3400,0.3228
0.3343,0.3429,0.3228
0.3333,0.3420,0.3247
0.3343,0.3401,0.3256
0.3333,0.3421,0.3246
0.3314,0.3431,0.3255
0.3314,0.3430,0.3256
0.3333,0.3421,0.3246
0.3343,0.3402,0.3255
0.3343,0.3402,0.3255
0.3333,0.3392,0.3275
0.3323,0.3413,0.3264
0.3313,0.3433,0.3254
0.3303,0.3423,0.3274
0.3283,0.3433,0.3284
0.3293,0.3443,0.3264
0.3264,0.3473,0.3263
0.3264,0.3443,0.3293
0.3283,0.3434,0.3283
0.3263,0.3444,0.3293
0.3283,0.3434,0.3283
0.3303,0.3425,0.3272
0.3323,0.3415,0.3262
0.3302,0.3426,0.3272
0.3292,0.3416,0.3292
0.3282,0.3405,0.3313
0.3251,0.3436,0.3313
0.3271,0.3396,0.3333
0.3291,0.3386,0.3323
0.3312,0.3344,0.3344
0.3334,0.3333,0.3333
0.3354,0.3291,0.3355
0.3386,0.3259,0.3355
0.3376,0.3280,0.3344
0.3387,0.3290,0.3323
0.3409,0.3247,0.3344
0.3432,0.3235,0.3333
0.3410,0.3246,0.3344
0.3410,0.3246,0.3344
0.3388,0.3257,0.3355
0.3378,0.3245,0.3377
0.3400,0.3200,0.3400
0.3423,0.3188,0.3389
0.3446,0.3176,0.3378
0.3412,0.3210,0.3378
0.3436,0.3163,0.3401
0.3459,0.3151,0.3390
0.3459,0.3151,0.3390
0.3483,0.3172,0.3345
0.3472,0.3160,0.3368
0.3438,0.3194,0.3368
0.3472,0.3195,0.3333
0.3496,0.3217,0.3287
0.3496,0.3217,0.3287
0.3509,0.3228,0.3263
0.3496,0.3252,0.3252
0.3519,0.3241,0.3240
0.3474,0.3263,0.3263
0.3474,0.3263,0.3263
0.3474,0.3263,0.3263
0.3463,0.3286,0.3251
0.3416,0.3310,0.3274
0.3416,0.3310,0.3274
0.3429,0.3321,0.3250
0.3429,0.3321,0.3250
0.3441,0.3297,0.3262
0.3453,0.3309,0.3238
0.3478,0.3261,0.3261
0.3502,0.3249,0.3249
0.3502,0.3213,0.3285
0.3502,0.3213,0.3285
0.3502,0.3177,0.3321
0.3538,0.3177,0.3285
0.3551,0.3188,0.3261
0.3551,0.3188,0.3261
0.3577,0.3175,0.3248
0.3590,0.3187,0.3223
0.3590,0.3187,0.3223
0.3603,0.3198,0.3199
0.3603,0.3198,0.3199
0.3630,0.3222,0.3148
0.3630,0.3222,0.3148
0.3643,0.3234,0.3123
0.3657,0.3246,0.3097
0.3684,0.3233,0.3083
0.3684,0.3233,0.3083
0.3712,0.3182,0.3106
0.3674,0.3182,0.3144
0.3650,0.3194,0.3156
0.3678,0.3180,0.3142
0.3678,0.3180,0.3142
0.3706,0.3205,0.3089
0.3735,0.3230,0.3035
0.3696,0.3230,0.3074
0.3672,0.3242,0.3086
0.3686,0.3255,0.3059
0.3725,0.3255,0.3020
0.3726,0.3294,0.2980
0.3740,0.3307,0.2953
0.3730,0.3294,0.2976
0.3680,0.3320,0.3000
0.3695,0.3293,0.3012
0.3735,0.3293,0.2972
0.3735,0.3293,0.2972
0.3750,0.3266,0.2984
0.3781,0.3211,0.3008
0.3729,0.3238,0.3033
0.3755,0.3184,0.3061
0.3755,0.3184,0.3061
0.3786,0.3210,0.3004
0.3770,0.3197,0.3033
0.3682,0.3138,0.3180
0.3760,0.3099,0.3141
0.3760,0.3099,0.3141
0.3776,0.3112,0.3112
0.3817,0.3112,0.3071
0.3792,0.3125,0.3083
0.3792,0.3125,0.3083
0.3777,0.3090,0.3133
0.3750,0.3103,0.3147
0.3783,0.3130,0.3087
0.3809,0.3117,0.3074
0.3809,0.3117,0.3074
0.3843,0.3057,0.3100
0.3843,0.3057,0.3100
0.3843,0.3057,0.3100
0.3816,0.3070,0.3114
0.3877,0.2995,0.3128
0.3877,0.3039,0.3084
0.3867,0.3022,0.3111
0.3911,0.2978,0.3111
0.3901,0.2960,0.3139
0.3937,0.2941,0.3122
0.3973,0.2922,0.3105
0.3945,0.2890,0.3165
0.3963,0.2857,0.3180
0.3954,0.2837,0.3209
0.4000,0.2791,0.3209
0.4038,0.2770,0.3192
0.4057,0.2736,0.3207
0.4049,0.2732,0.3219
0.4109,0.2673,0.3218
0.4150,0.2650,0.3200
0.4200,0.2650,0.3150
0.4179,0.2637,0.3184
0.4124,0.2680,0.3196
0.4118,0.2674,0.3208
0.4249,0.2539,0.3212
0.4219,0.2552,0.3229
0.4219,0.2500,0.3281
0.4271,0.2448,0.3281
0.4293,0.2408,0.3299
0.4293,0.2408,0.3299
0.4293,0.2356,0.3351
0.4392,0.2328,0.3280
0.4415,0.2287,0.3298
0.4415,0.2234,0.3351
0.4415,0.2181,0.3404
0.4409,0.2150,0.3441
0.4378,0.2162,0.3460
0.4402,0.2120,0.3478
0.4463,0.2034,0.3503
0.4451,0.1978,0.3571
0.4451,0.1978,0.3571
0.4530,0.1879,0.3591
0.4530,0.1879,0.3591
0.4555,0.1889,0.3556
0.4550,0.1798,0.3652
0.4520,0.1808,0.3672
0.4588,0.1706,0.3706
0.4643,0.1726,0.3631
0.4671,0.1736,0.3593
0.4671,0.1736,0.3593
0.4699,0.1687,0.3614
0.4759,0.1627,0.3614
0.4790,0.1617,0.3593
0.4788,0.1576,0.3636
0.4785,0.1534,0.3681
0.4815,0.1481,0.3704
0.4783,0.1428,0.3789
0.4805,0.1364,0.3831
0.4783,0.1304,0.3913
0.4721,0.1304,0.3975
0.4753,0.1296,0.3951
0.4815,0.1234,0.3951
0.4875,0.1188,0.3937
0.4875,0.1125,0.4000
0.4875,0.1125,0.4000
0.4906,0.1069,0.4025
0.5000,0.0921,0.4079
0.5000,0.1013,0.3987
0.5063,0.1013,0.3924
0.5096,0.0955,0.3949
0.5128,0.0898,0.3974
0.5192,0.0833,0.3975
0.5161,0.0774,0.4065
0.5226,0.0774,0.4000
0.5190,0.0886,0.3924
0.5223,0.0828,0.3949
0.5325,0.0714,0.3961
0.5294,0.0719,0.3987
0.5364,0.0662,0.3974
0.5369,0.0604,0.4027
0.5374,0.0544,0.4082
0.5448,0.0414,0.4138
0.5479,0.0411,0.4110
0.5486,0.0347,0.4167
0.5486,0.0347,0.4167
0.5524,0.0280,0.4196
0.5603,0.0213,0.4184
0.5571,0.0143,0.4286
0.5571,0.0072,0.4357
0.5571,0.0072,0.4357
0.5540,0.0072,0.4388
0.5507,0.0073,0.4420
0.5507,0.0073,0.4420
0.5507,0.0073,0.4420
0.5547,0.0073,0.4380
0.5474,0.0146,0.4380
0.5435,0.0145,0.4420
0.5474,0.0073,0.4453
0.5507,0.0073,0.4420
0.5474,0.0073,0.4453
0.5547,0.0073,0.4380
0.5547,0.0073,0.4380
0.5580,0.0072,0.4348
0.5580,0.0000,0.4420
0.5540,0.0072,0.4388
0.5620,0.0000,0.4380
0.5547,0.0073,0.4380
0.5547,0.0073,0.4380
0.5556,0.0000,0.4444
0.5556,0.0000,0.4444
0.5597,0.0000,0.4403
0.5597,0.0000,0.4403
0.5597,0.0000,0.4403
0.5564,0.0000,0.4436
0.5564,0.0000,0.4436
0.5597,0.0000,0.4403
0.5639,0.0000,0.4361
0.5746,0.0000,0.4254
0.5746,0.0000,0.4254
0.5758,0.0000,0.4242
0.5821,0.0000,0.4179
0.5821,0.0000,0.4179
0.5778,0.0000,0.4222
