# Pd,Pt,Ru
0.330,0.350,0.320
0.420,0.450,0.130
0.440,0.520,0.040
0.430,0.540,0.030
0.460,0.530,0.010
0.460,0.540,0.000
0.460,0.540,0.000
0.450,0.550,0.000
0.460,0.540,0.000
