# Au,Ir,Pd,Pt,Rh,Ru
0.061,0.209,0.196,0.182,0.209,0.142
0.070,0.223,0.214,0.167,0.233,0.093
0.082,0.217,0.217,0.174,0.217,0.092
0.092,0.207,0.224,0.161,0.213,0.103
0.095,0.201,0.213,0.183,0.219,0.089
0.091,0.200,0.218,0.182,0.218,0.091
0.093,0.204,0.216,0.179,0.222,0.086
0.093,0.199,0.217,0.174,0.224,0.093
0.094,0.200,0.219,0.175,0.225,0.087
0.093,0.199,0.217,0.174,0.230,0.087
0.093,0.199,0.217,0.174,0.230,0.087
