# Au,Ir,Pd,Pt,Rh,Ru
0.041,0.206,0.216,0.189,0.172,0.176
0.046,0.257,0.220,0.188,0.197,0.092
0.045,0.263,0.232,0.162,0.212,0.086
0.046,0.256,0.226,0.164,0.221,0.087
0.047,0.245,0.229,0.172,0.224,0.083
0.052,0.244,0.228,0.166,0.223,0.088
0.052,0.246,0.230,0.162,0.225,0.084
0.052,0.246,0.230,0.162,0.225,0.084
