# Au,Ir,Pd,Pt,Rh,Ru
0.037,0.155,0.260,0.176,0.166,0.206
0.042,0.199,0.301,0.169,0.199,0.090
0.050,0.191,0.305,0.170,0.213,0.071
0.045,0.231,0.284,0.164,0.209,0.067
0.047,0.213,0.291,0.189,0.205,0.055
0.049,0.221,0.279,0.197,0.205,0.049
0.046,0.215,0.292,0.177,0.208,0.062
0.047,0.213,0.291,0.181,0.213,0.055
0.048,0.216,0.288,0.192,0.208,0.048
0.048,0.216,0.288,0.192,0.208,0.048
