# Au,Ir,Pd,Pt,Rh,Ru
0.027,0.186,0.206,0.213,0.186,0.182
0.048,0.213,0.232,0.242,0.193,0.072
0.048,0.218,0.213,0.255,0.213,0.053
0.050,0.223,0.223,0.240,0.207,0.056
0.046,0.237,0.220,0.243,0.202,0.052
0.047,0.240,0.216,0.246,0.199,0.053
0.056,0.226,0.220,0.260,0.186,0.051
0.056,0.226,0.220,0.260,0.186,0.051
