# Au,Ir,Pd,Pt,Rh,Ru
0.051,0.186,0.169,0.236,0.223,0.135
0.061,0.225,0.164,0.263,0.235,0.052
0.062,0.251,0.164,0.256,0.221,0.046
0.060,0.250,0.168,0.261,0.212,0.049
0.062,0.253,0.174,0.258,0.208,0.045
0.062,0.253,0.174,0.264,0.213,0.034
0.062,0.256,0.176,0.256,0.216,0.034
0.062,0.254,0.175,0.254,0.215,0.040
0.063,0.247,0.178,0.259,0.218,0.034
0.063,0.247,0.178,0.259,0.218,0.034
0.062,0.244,0.176,0.261,0.222,0.034
0.062,0.244,0.182,0.261,0.216,0.034
0.062,0.242,0.180,0.258,0.225,0.034
0.062,0.242,0.180,0.258,0.225,0.034
