# Au,Ir,Pd,Pt,Rh,Ru
0.041,0.213,0.223,0.189,0.186,0.149
0.049,0.209,0.267,0.184,0.209,0.083
0.049,0.222,0.254,0.184,0.211,0.081
0.049,0.219,0.268,0.186,0.208,0.071
0.049,0.220,0.269,0.192,0.192,0.077
0.051,0.226,0.266,0.192,0.192,0.073
0.051,0.239,0.256,0.188,0.199,0.068
0.051,0.239,0.256,0.188,0.199,0.068
0.051,0.239,0.256,0.188,0.199,0.068
