# Au,Ir,Pd,Pt,Rh,Ru
0.061,0.203,0.240,0.179,0.213,0.105
0.074,0.222,0.259,0.181,0.213,0.051
0.072,0.231,0.246,0.185,0.221,0.046
0.070,0.246,0.246,0.186,0.211,0.040
0.076,0.242,0.253,0.177,0.212,0.040
0.075,0.241,0.251,0.181,0.211,0.040
0.075,0.241,0.251,0.186,0.206,0.040
0.075,0.241,0.251,0.186,0.206,0.040
0.075,0.241,0.256,0.186,0.201,0.040
0.075,0.241,0.256,0.186,0.201,0.040
