# Au,Ir,Pd,Pt,Rh,Ru
0.054,0.209,0.186,0.213,0.226,0.111
0.055,0.233,0.165,0.233,0.233,0.081
0.052,0.225,0.174,0.244,0.235,0.070
0.055,0.224,0.169,0.249,0.234,0.070
0.057,0.222,0.175,0.247,0.237,0.062
0.058,0.225,0.173,0.251,0.236,0.058
0.058,0.221,0.184,0.253,0.226,0.058
0.058,0.221,0.184,0.253,0.226,0.058
