# Au,Ir,Pd,Pt,Rh,Ru
0.057,0.189,0.203,0.203,0.209,0.139
0.067,0.188,0.210,0.214,0.228,0.094
0.070,0.196,0.220,0.201,0.224,0.089
0.069,0.194,0.221,0.198,0.230,0.088
0.070,0.192,0.220,0.201,0.234,0.084
0.071,0.190,0.219,0.205,0.233,0.081
0.067,0.183,0.221,0.207,0.236,0.087
0.069,0.187,0.217,0.212,0.232,0.084
0.066,0.185,0.223,0.218,0.227,0.081
0.067,0.186,0.214,0.224,0.224,0.086
0.067,0.186,0.219,0.224,0.224,0.081
0.067,0.186,0.219,0.219,0.229,0.081
0.067,0.187,0.215,0.220,0.230,0.081
0.067,0.187,0.215,0.220,0.225,0.086
0.067,0.188,0.221,0.221,0.221,0.082
0.068,0.188,0.222,0.217,0.222,0.082
0.068,0.188,0.222,0.217,0.222,0.082
