# Au,Ir,Pd,Pt,Rh,Ru
0.030,0.169,0.176,0.220,0.250,0.155
0.032,0.211,0.193,0.243,0.257,0.064
0.032,0.231,0.183,0.242,0.258,0.054
0.036,0.219,0.195,0.260,0.225,0.065
0.037,0.219,0.188,0.263,0.231,0.062
0.038,0.218,0.199,0.256,0.218,0.071
0.039,0.216,0.216,0.242,0.222,0.065
0.039,0.224,0.217,0.230,0.224,0.066
0.039,0.224,0.217,0.230,0.224,0.066
