# Au,Ir,Pd,Pt,Rh,Ru
0.047,0.230,0.176,0.189,0.186,0.172
0.057,0.227,0.191,0.206,0.201,0.119
0.059,0.230,0.203,0.214,0.187,0.107
0.053,0.246,0.199,0.216,0.193,0.094
0.060,0.251,0.198,0.216,0.186,0.090
0.058,0.256,0.209,0.221,0.174,0.081
0.059,0.259,0.206,0.224,0.176,0.076
0.060,0.259,0.193,0.229,0.187,0.072
0.060,0.259,0.199,0.223,0.187,0.072
0.060,0.259,0.199,0.223,0.187,0.072
