# Au,Ir,Pd,Pt,Rh,Ru
0.064,0.220,0.159,0.169,0.240,0.149
0.064,0.235,0.171,0.162,0.265,0.103
0.063,0.225,0.167,0.185,0.257,0.104
0.052,0.216,0.169,0.197,0.258,0.108
0.052,0.214,0.167,0.195,0.267,0.105
0.053,0.215,0.167,0.191,0.258,0.115
0.049,0.218,0.170,0.194,0.257,0.112
0.049,0.222,0.172,0.192,0.266,0.099
0.049,0.227,0.172,0.192,0.261,0.099
0.049,0.230,0.162,0.196,0.265,0.098
0.049,0.230,0.162,0.191,0.265,0.103
0.049,0.230,0.162,0.191,0.265,0.103
