# Au,Ir,Pd,Pt,Rh,Ru
0.047,0.199,0.213,0.182,0.186,0.172
0.070,0.257,0.228,0.193,0.181,0.070
0.066,0.250,0.230,0.204,0.191,0.059
0.062,0.234,0.250,0.211,0.180,0.062
0.056,0.240,0.272,0.192,0.176,0.064
0.056,0.240,0.304,0.176,0.168,0.056
0.059,0.235,0.311,0.185,0.168,0.042
0.059,0.235,0.303,0.193,0.168,0.042
0.059,0.235,0.303,0.193,0.168,0.042
