# Au,Ir,Pd,Pt,Rh,Ru
0.047,0.213,0.159,0.209,0.226,0.145
0.056,0.206,0.159,0.215,0.257,0.107
0.046,0.218,0.162,0.208,0.249,0.117
0.044,0.235,0.164,0.197,0.257,0.104
0.034,0.237,0.164,0.209,0.249,0.107
0.035,0.238,0.169,0.198,0.256,0.105
0.034,0.236,0.167,0.201,0.259,0.103
0.035,0.237,0.173,0.197,0.260,0.098
0.035,0.227,0.180,0.198,0.262,0.099
0.035,0.227,0.174,0.198,0.267,0.099
0.035,0.227,0.174,0.198,0.267,0.099
