# Au,Ir,Pd,Pt,Rh,Ru
0.051,0.247,0.149,0.149,0.243,0.162
0.065,0.263,0.161,0.166,0.240,0.106
0.061,0.245,0.189,0.163,0.245,0.097
0.063,0.238,0.196,0.153,0.238,0.111
0.059,0.242,0.194,0.156,0.242,0.108
0.060,0.242,0.198,0.154,0.242,0.104
0.061,0.229,0.196,0.156,0.251,0.106
0.061,0.229,0.196,0.156,0.251,0.106
