# Au,Ir,Pd,Pt,Rh,Ru
0.051,0.196,0.155,0.223,0.196,0.179
0.046,0.249,0.157,0.259,0.173,0.117
0.059,0.265,0.159,0.271,0.147,0.100
0.058,0.282,0.160,0.250,0.167,0.083
0.045,0.271,0.181,0.245,0.155,0.103
0.047,0.273,0.173,0.260,0.160,0.087
0.048,0.288,0.171,0.260,0.171,0.062
0.049,0.292,0.167,0.257,0.167,0.069
0.050,0.291,0.170,0.262,0.170,0.057
0.049,0.296,0.169,0.254,0.176,0.056
0.049,0.296,0.169,0.254,0.176,0.056
0.050,0.298,0.170,0.248,0.177,0.057
0.050,0.298,0.170,0.248,0.177,0.057
