# Au,Ir,Pd,Pt,Rh,Ru
0.061,0.206,0.220,0.162,0.199,0.152
0.067,0.226,0.221,0.159,0.255,0.072
0.069,0.228,0.238,0.180,0.222,0.063
0.074,0.223,0.234,0.181,0.218,0.069
0.074,0.239,0.239,0.176,0.213,0.059
0.077,0.231,0.247,0.165,0.209,0.071
0.084,0.225,0.253,0.174,0.202,0.062
0.074,0.233,0.250,0.176,0.205,0.062
0.073,0.232,0.254,0.175,0.203,0.062
0.073,0.232,0.254,0.175,0.203,0.062
