# Au,Ir,Pd,Pt,Rh,Ru
0.074,0.253,0.223,0.186,0.193,0.071
0.077,0.283,0.231,0.194,0.182,0.032
0.083,0.272,0.246,0.197,0.175,0.026
0.088,0.267,0.240,0.203,0.180,0.023
0.086,0.257,0.243,0.200,0.190,0.024
0.085,0.249,0.249,0.202,0.188,0.028
0.085,0.249,0.249,0.207,0.183,0.028
0.085,0.249,0.249,0.207,0.183,0.028
