# Au,Ir,Pd,Pt,Rh,Ru
0.030,0.206,0.220,0.216,0.186,0.142
0.036,0.210,0.241,0.231,0.221,0.062
0.038,0.219,0.251,0.208,0.219,0.066
0.040,0.220,0.254,0.215,0.215,0.056
0.040,0.224,0.253,0.213,0.218,0.052
0.040,0.223,0.257,0.211,0.217,0.051
0.040,0.223,0.251,0.217,0.217,0.051
0.040,0.218,0.253,0.218,0.218,0.052
0.040,0.218,0.253,0.218,0.218,0.052
