# Au,Ir,Pd,Pt,Rh,Ru
0.068,0.189,0.226,0.169,0.226,0.122
0.061,0.183,0.239,0.228,0.239,0.051
0.063,0.211,0.223,0.240,0.229,0.034
0.068,0.205,0.239,0.222,0.233,0.034
0.064,0.208,0.243,0.225,0.231,0.029
0.063,0.217,0.240,0.223,0.223,0.034
0.064,0.222,0.240,0.222,0.228,0.023
0.065,0.218,0.241,0.224,0.229,0.024
0.063,0.218,0.247,0.224,0.224,0.023
0.063,0.218,0.247,0.224,0.224,0.023
