# Au,Ir,Pd,Pt,Rh,Ru
0.054,0.179,0.257,0.189,0.199,0.122
0.066,0.178,0.286,0.192,0.216,0.061
0.071,0.173,0.306,0.204,0.204,0.041
0.070,0.178,0.286,0.211,0.211,0.043
0.071,0.186,0.279,0.213,0.208,0.044
0.072,0.177,0.282,0.215,0.204,0.050
0.073,0.180,0.281,0.219,0.202,0.045
0.068,0.182,0.278,0.222,0.205,0.045
0.068,0.182,0.278,0.222,0.205,0.045
