# Au,Ir,Pd,Pt,Rh,Ru
0.061,0.196,0.226,0.216,0.162,0.139
0.071,0.204,0.270,0.224,0.168,0.061
0.079,0.219,0.281,0.202,0.174,0.045
0.071,0.219,0.278,0.213,0.178,0.041
0.074,0.204,0.272,0.222,0.185,0.043
0.074,0.210,0.265,0.222,0.185,0.043
0.074,0.210,0.265,0.222,0.185,0.043
