# Au,Ir,Pd,Pt,Rh,Ru
0.064,0.186,0.189,0.220,0.220,0.122
0.067,0.211,0.201,0.220,0.244,0.057
0.074,0.221,0.216,0.205,0.226,0.058
0.076,0.201,0.228,0.207,0.228,0.060
0.077,0.204,0.221,0.210,0.227,0.061
0.077,0.204,0.221,0.210,0.227,0.061
0.077,0.203,0.220,0.209,0.231,0.060
0.077,0.209,0.220,0.209,0.231,0.055
0.078,0.200,0.222,0.211,0.233,0.056
0.078,0.200,0.222,0.211,0.233,0.056
