# Au,Ir,Pd,Pt,Rh,Ru
0.064,0.169,0.203,0.236,0.196,0.132
0.066,0.193,0.202,0.251,0.206,0.082
0.065,0.204,0.204,0.248,0.204,0.074
0.066,0.204,0.208,0.252,0.204,0.066
0.066,0.202,0.211,0.250,0.202,0.070
0.067,0.201,0.214,0.254,0.196,0.067
0.067,0.201,0.214,0.250,0.201,0.067
0.067,0.201,0.214,0.250,0.201,0.067
