# Au,Cu,Pd
0.350,0.310,0.340
0.460,0.090,0.450
0.430,0.110,0.460
0.440,0.080,0.480
0.470,0.050,0.480
0.510,0.050,0.440
0.510,0.010,0.480
0.520,0.000,0.480
