# Au,Cu,Pd
0.350,0.330,0.320
0.460,0.120,0.420
0.440,0.110,0.450
0.510,0.070,0.420
0.480,0.040,0.480
0.510,0.010,0.480
0.510,0.020,0.470
0.510,0.020,0.470
0.530,0.010,0.460
0.530,0.000,0.470
