# Au,Cu,Pd
0.360,0.350,0.290
0.410,0.110,0.480
0.430,0.180,0.390
0.460,0.080,0.460
0.510,0.090,0.400
0.560,0.100,0.340
0.550,0.040,0.410
0.530,0.040,0.430
0.520,0.030,0.450
0.510,0.020,0.470
0.530,0.000,0.470
