# Au,Cu,Pd
0.340,0.320,0.340
0.460,0.130,0.410
0.490,0.150,0.360
0.460,0.120,0.420
0.530,0.070,0.400
0.500,0.100,0.400
0.570,0.040,0.390
0.550,0.050,0.400
0.570,0.030,0.400
0.580,0.010,0.410
0.530,0.040,0.430
0.550,0.000,0.450
0.560,0.000,0.440
0.540,0.010,0.450
0.540,0.000,0.460
