# Au,Cu,Pd
0.370,0.340,0.290
0.490,0.110,0.400
0.450,0.180,0.370
0.550,0.100,0.350
0.550,0.060,0.390
0.540,0.060,0.400
0.540,0.040,0.420
0.560,0.010,0.430
0.570,0.000,0.430
0.570,0.010,0.420
0.570,0.000,0.430
