# Au,Cu,Pd
0.350,0.330,0.320
0.360,0.150,0.490
0.340,0.160,0.500
0.320,0.140,0.540
0.340,0.070,0.590
0.360,0.090,0.550
0.400,0.030,0.570
0.450,0.010,0.540
0.420,0.040,0.540
0.450,0.000,0.550
