# Au,Cu,Pd
0.270,0.370,0.360
0.380,0.180,0.440
0.320,0.170,0.510
0.380,0.120,0.500
0.450,0.070,0.480
0.440,0.080,0.480
0.520,0.060,0.420
0.520,0.020,0.460
0.510,0.080,0.410
0.550,0.020,0.430
0.570,0.000,0.430
0.560,0.020,0.420
0.560,0.020,0.420
0.560,0.000,0.440
0.550,0.000,0.450
0.560,0.000,0.440
