# Au,Cu,Pd
0.320,0.380,0.300
0.390,0.230,0.380
0.480,0.170,0.350
0.480,0.150,0.370
0.560,0.100,0.340
0.510,0.070,0.420
0.490,0.070,0.440
0.500,0.020,0.480
0.500,0.000,0.500
