# Au,Cu,Pd
0.310,0.380,0.310
0.460,0.200,0.340
0.490,0.120,0.390
0.510,0.070,0.420
0.470,0.100,0.430
0.520,0.070,0.410
0.490,0.090,0.420
0.520,0.080,0.400
0.520,0.030,0.450
0.590,0.000,0.410
