# Au,Cu,Pd
0.320,0.330,0.350
0.500,0.050,0.450
0.360,0.110,0.530
0.460,0.080,0.460
0.460,0.090,0.450
0.460,0.050,0.490
0.490,0.040,0.470
0.490,0.010,0.500
0.530,0.010,0.460
0.530,0.020,0.450
0.550,0.000,0.450
0.550,0.000,0.450
