# Au,Cu,Pd
0.330,0.320,0.350
0.420,0.130,0.450
0.410,0.110,0.480
0.450,0.080,0.470
0.380,0.110,0.510
0.380,0.110,0.510
0.460,0.040,0.500
0.470,0.080,0.450
0.510,0.030,0.460
0.490,0.060,0.450
0.480,0.040,0.480
0.490,0.010,0.500
0.490,0.020,0.490
0.500,0.000,0.500
