# Au,Cu,Pd
0.340,0.290,0.370
0.400,0.080,0.520
0.380,0.100,0.520
0.460,0.090,0.450
0.470,0.030,0.500
0.430,0.060,0.510
0.410,0.040,0.550
0.390,0.050,0.560
0.440,0.010,0.550
0.480,0.010,0.510
0.460,0.030,0.510
0.460,0.000,0.540
0.460,0.000,0.540
0.470,0.000,0.530
