# Au,Cu,Pd
0.300,0.340,0.360
0.370,0.140,0.490
0.400,0.100,0.500
0.430,0.050,0.520
0.480,0.040,0.480
0.510,0.040,0.450
0.510,0.000,0.490
0.510,0.000,0.490
