# Au,Cu,Pd
0.340,0.330,0.330
0.440,0.110,0.450
0.440,0.100,0.460
0.460,0.050,0.490
0.380,0.090,0.530
0.480,0.030,0.490
0.470,0.020,0.510
0.500,0.020,0.480
0.490,0.030,0.480
0.510,0.000,0.490
0.500,0.000,0.500
