# Au,Cu,Pd
0.330,0.350,0.320
0.430,0.120,0.450
0.390,0.090,0.520
0.450,0.120,0.430
0.440,0.040,0.520
0.440,0.050,0.510
0.460,0.020,0.520
0.440,0.010,0.550
0.440,0.000,0.560
0.450,0.000,0.550
0.460,0.000,0.540
