# Au,Cu,Pd
0.360,0.370,0.270
0.470,0.140,0.390
0.430,0.120,0.450
0.470,0.100,0.430
0.520,0.070,0.410
0.530,0.070,0.400
0.520,0.040,0.440
0.560,0.010,0.430
0.530,0.050,0.420
0.560,0.020,0.420
0.570,0.000,0.430
