# Au,Cu,Pd
0.310,0.350,0.340
0.380,0.100,0.520
0.330,0.090,0.580
0.340,0.080,0.580
0.440,0.010,0.550
0.420,0.060,0.520
0.410,0.010,0.580
0.440,0.040,0.520
0.440,0.010,0.550
0.440,0.010,0.550
0.430,0.000,0.570
