# Au,Cu,Pd
0.340,0.380,0.280
0.360,0.230,0.410
0.370,0.230,0.400
0.460,0.150,0.390
0.510,0.090,0.400
0.530,0.090,0.380
0.530,0.040,0.430
0.510,0.050,0.440
0.560,0.000,0.440
