# Au,Cu,Pd
0.350,0.340,0.310
0.440,0.100,0.460
0.480,0.100,0.420
0.480,0.060,0.460
0.460,0.040,0.500
0.470,0.050,0.480
0.480,0.040,0.480
0.490,0.020,0.490
0.490,0.010,0.500
0.470,0.040,0.490
0.510,0.020,0.470
0.490,0.010,0.500
0.480,0.010,0.510
0.490,0.000,0.510
