# Au,Cu,Pd
0.330,0.350,0.320
0.430,0.160,0.410
0.360,0.090,0.550
0.410,0.100,0.490
0.480,0.040,0.480
0.480,0.050,0.470
0.480,0.010,0.510
0.470,0.000,0.530
0.470,0.000,0.530
0.470,0.000,0.530
0.480,0.000,0.520
