# Au,Cu,Pd
0.280,0.360,0.360
0.510,0.110,0.380
0.510,0.110,0.380
0.490,0.120,0.390
0.510,0.070,0.420
0.520,0.030,0.450
0.510,0.020,0.470
0.490,0.030,0.480
0.500,0.010,0.490
0.510,0.000,0.490
