# Au,Cu,Pd
0.380,0.320,0.300
0.540,0.100,0.360
0.500,0.090,0.410
0.480,0.120,0.400
0.530,0.040,0.430
0.530,0.050,0.420
0.540,0.020,0.440
0.550,0.000,0.450
0.540,0.010,0.450
0.550,0.000,0.450
