# Au,Cu,Pd
0.330,0.340,0.330
0.450,0.120,0.430
0.380,0.160,0.460
0.480,0.110,0.410
0.420,0.030,0.550
0.430,0.060,0.510
0.440,0.030,0.530
0.460,0.020,0.520
0.450,0.010,0.540
0.460,0.000,0.540
0.450,0.000,0.550
