# Au,Cu,Pd
0.4964,0.0360,0.4676
0.5076,0.0303,0.4621
0.5038,0.0225,0.4737
0.5038,0.0153,0.4809
0.5000,0.0227,0.4773
0.5038,0.0150,0.4812
0.5077,0.0077,0.4846
0.5077,0.0000,0.4923
0.5000,0.0000,0.5000
0.4961,0.0000,0.5039
0.4922,0.0000,0.5078
0.4844,0.0000,0.5156
0.4844,0.0000,0.5156
0.4702,0.0149,0.5149
0.4776,0.0075,0.5149
0.4737,0.0000,0.5263
0.4737,0.0000,0.5263
0.4812,0.0000,0.5188
0.4812,0.0000,0.5188
0.4812,0.0000,0.5188
0.4809,0.0000,0.5191
0.4848,0.0000,0.5152
0.4848,0.0000,0.5152
0.4848,0.0076,0.5076
0.4885,0.0000,0.5115
0.4885,0.0000,0.5115
0.4809,0.0000,0.5191
0.4809,0.0000,0.5191
0.4806,0.0000,0.5194
0.4729,0.0000,0.5271
0.4701,0.0000,0.5299
0.4706,0.0000,0.5294
0.4701,0.0000,0.5299
0.4621,0.0000,0.5379
0.4656,0.0000,0.5344
0.4656,0.0000,0.5344
0.4615,0.0000,0.5385
0.4574,0.0000,0.5426
0.4488,0.0000,0.5512
0.4488,0.0000,0.5512
0.4409,0.0079,0.5512
0.4400,0.0000,0.5600
0.4400,0.0080,0.5520
0.4400,0.0000,0.5600
0.4385,0.0000,0.5615
0.4341,0.0000,0.5659
0.4331,0.0000,0.5669
0.4252,0.0000,0.5748
0.4375,0.0000,0.5625
0.4453,0.0000,0.5547
0.4419,0.0000,0.5581
0.4462,0.0000,0.5538
0.4496,0.0000,0.5504
0.4419,0.0077,0.5504
0.4480,0.0000,0.5520
0.4524,0.0000,0.5476
0.4597,0.0000,0.5403
0.4597,0.0000,0.5403
0.4640,0.0000,0.5360
0.4553,0.0000,0.5447
0.4560,0.0080,0.5360
0.4553,0.0000,0.5447
0.4590,0.0000,0.5410
0.4583,0.0000,0.5417
0.4583,0.0000,0.5417
0.4538,0.0000,0.5462
0.4492,0.0000,0.5508
0.4530,0.0000,0.5470
0.4530,0.0000,0.5470
0.4522,0.0000,0.5478
0.4444,0.0000,0.5556
0.4492,0.0000,0.5508
0.4407,0.0085,0.5508
0.4397,0.0000,0.5603
0.4435,0.0000,0.5565
0.4435,0.0000,0.5565
0.4348,0.0000,0.5652
0.4348,0.0000,0.5652
0.4348,0.0000,0.5652
0.4359,0.0085,0.5556
0.4397,0.0000,0.5603
0.4359,0.0000,0.5641
0.4435,0.0000,0.5565
0.4397,0.0086,0.5517
0.4359,0.0085,0.5556
0.4359,0.0000,0.5641
0.4492,0.0000,0.5508
0.4397,0.0000,0.5603
0.4348,0.0000,0.5652
0.4386,0.0000,0.5614
0.4386,0.0088,0.5526
0.4386,0.0000,0.5614
0.4348,0.0087,0.5565
0.4435,0.0000,0.5565
0.4435,0.0000,0.5565
0.4435,0.0000,0.5565
0.4474,0.0000,0.5526
0.4561,0.0000,0.5439
0.4561,0.0088,0.5351
0.4643,0.0000,0.5357
0.4643,0.0000,0.5357
0.4643,0.0000,0.5357
0.4554,0.0089,0.5357
0.4554,0.0089,0.5357
0.4595,0.0000,0.5405
0.4595,0.0000,0.5405
0.4554,0.0089,0.5357
0.4561,0.0000,0.5439
0.4602,0.0000,0.5398
0.4561,0.0088,0.5351
0.4554,0.0000,0.5446
0.4464,0.0089,0.5447
0.4505,0.0000,0.5495
0.4474,0.0175,0.5351
0.4561,0.0088,0.5351
0.4649,0.0000,0.5351
0.4649,0.0000,0.5351
0.4649,0.0088,0.5263
0.4602,0.0000,0.5398
0.4554,0.0000,0.5446
0.4561,0.0000,0.5439
0.4643,0.0000,0.5357
0.4685,0.0000,0.5315
0.4636,0.0000,0.5364
0.4630,0.0000,0.5370
0.4630,0.0000,0.5370
0.4537,0.0093,0.5370
0.4579,0.0000,0.5421
0.4537,0.0000,0.5463
0.4454,0.0091,0.5455
0.4495,0.0092,0.5413
0.4455,0.0000,0.5545
0.4505,0.0000,0.5495
0.4464,0.0089,0.5447
0.4505,0.0000,0.5495
0.4464,0.0000,0.5536
0.4474,0.0000,0.5526
0.4435,0.0087,0.5478
0.4513,0.0000,0.5487
0.4513,0.0000,0.5487
0.4425,0.0088,0.5487
0.4425,0.0000,0.5575
0.4386,0.0000,0.5614
0.4425,0.0000,0.5575
0.4474,0.0000,0.5526
0.4561,0.0000,0.5439
0.4483,0.0086,0.5431
0.4522,0.0000,0.5478
0.4609,0.0000,0.5391
0.4569,0.0086,0.5345
0.4569,0.0000,0.5431
0.4609,0.0000,0.5391
0.4602,0.0000,0.5398
0.4595,0.0000,0.5405
0.4636,0.0000,0.5364
0.4679,0.0000,0.5321
0.4685,0.0090,0.5225
0.4771,0.0000,0.5229
0.4771,0.0092,0.5137
0.4909,0.0000,0.5091
0.4955,0.0000,0.5045
0.4911,0.0089,0.5000
0.4818,0.0000,0.5182
0.4865,0.0000,0.5135
0.4865,0.0000,0.5135
0.4911,0.0000,0.5089
0.4865,0.0000,0.5135
0.4867,0.0089,0.5044
0.4732,0.0089,0.5179
0.4775,0.0000,0.5225
0.4818,0.0000,0.5182
